metric,baseline,comparison,n,statistic,p_value,significant_p05,effect_size,median_reduction
retrieval_accuracy_score,D_W0_R0,D_W0_R1,30,465.0,7.034297511334925e-07,True,52.11593799435161,0.65
retrieval_accuracy_score,D_W0_R0,D_W0_R2,30,465.0,5.045310257864315e-07,True,12.026754921773449,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W0_R3,30,465.0,8.234096551809497e-07,True,28.06242815080471,0.35
retrieval_accuracy_score,D_W0_R0,D_W0_R4,30,465.0,7.680759246087473e-07,True,12.026754921773449,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W1_R0,30,20.0,0.12841962897892828,False,0.0,0.0
retrieval_accuracy_score,D_W0_R0,D_W1_R1,30,465.0,7.784874451850182e-07,True,52.11593799435161,0.65
retrieval_accuracy_score,D_W0_R0,D_W1_R2,30,465.0,4.512804358059761e-07,True,12.026754921773449,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W1_R3,30,465.0,8.333877499789622e-07,True,21.247267028466425,0.265
retrieval_accuracy_score,D_W0_R0,D_W1_R4,30,465.0,6.004571144398768e-07,True,12.026754921773449,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W2_R0,30,12.5,0.07864960352514258,False,0.0,0.0
retrieval_accuracy_score,D_W0_R0,D_W2_R1,30,465.0,7.029718582524617e-07,True,52.11593799435161,0.65
retrieval_accuracy_score,D_W0_R0,D_W2_R2,30,465.0,4.4939134840423943e-07,True,12.026754921773449,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W2_R3,30,435.0,1.2431920055354577e-06,True,27.260644489353144,0.33999999999999997
retrieval_accuracy_score,D_W0_R0,D_W2_R4,30,435.0,7.813761083290899e-07,True,12.026754921773449,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W3_R0,30,7.5,0.15865525393145707,False,0.0,0.0
retrieval_accuracy_score,D_W0_R0,D_W3_R1,30,465.0,7.361092107281917e-07,True,52.11593799435161,0.65
retrieval_accuracy_score,D_W0_R0,D_W3_R2,30,465.0,4.031358397585349e-07,True,12.026754921773449,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W3_R3,30,465.0,7.955943588506354e-07,True,40.08918307257816,0.5
retrieval_accuracy_score,D_W0_R0,D_W3_R4,30,465.0,4.522274874441576e-07,True,12.026754921773449,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W4_R0,30,14.0,0.20710808912126266,False,0.0,0.0
retrieval_accuracy_score,D_W0_R0,D_W4_R1,30,465.0,7.915411930442939e-07,True,52.11593799435161,0.65
retrieval_accuracy_score,D_W0_R0,D_W4_R2,30,465.0,5.048776063987587e-07,True,12.026754921773449,0.15000000000000002
retrieval_accuracy_score,D_W0_R0,D_W4_R3,30,465.0,8.493482235897473e-07,True,29.265103642982055,0.365
retrieval_accuracy_score,D_W0_R0,D_W4_R4,30,465.0,4.0370971474505937e-07,True,12.026754921773449,0.15000000000000002
