condition,read_algorithm,n,write_latency_ms_mean,write_latency_ms_p50,write_latency_ms_p95,write_latency_ms_p99,write_latency_ms_std,flush_latency_ms_mean,flush_latency_ms_p50,flush_latency_ms_p95,flush_latency_ms_p99,flush_latency_ms_std,total_bytes_written_mean,total_bytes_written_p50,total_bytes_written_p95,total_bytes_written_p99,total_bytes_written_std,handoff_latency_ms_mean,handoff_latency_ms_p50,handoff_latency_ms_p95,handoff_latency_ms_p99,handoff_latency_ms_std,context_payload_bytes_mean,context_payload_bytes_p50,context_payload_bytes_p95,context_payload_bytes_p99,context_payload_bytes_std,context_token_count_mean,context_token_count_p50,context_token_count_p95,context_token_count_p99,context_token_count_std,compression_ratio_mean,compression_ratio_p50,compression_ratio_p95,compression_ratio_p99,compression_ratio_std,input_token_delta_mean,input_token_delta_p50,input_token_delta_p95,input_token_delta_p99,input_token_delta_std,estimated_cost_usd_mean,estimated_cost_usd_p50,estimated_cost_usd_p95,estimated_cost_usd_p99,estimated_cost_usd_std,input_tokens_used_mean,input_tokens_used_p50,input_tokens_used_p95,input_tokens_used_p99,input_tokens_used_std,output_tokens_used_mean,output_tokens_used_p50,output_tokens_used_p95,output_tokens_used_p99,output_tokens_used_std,simulator_input_tokens_mean,simulator_input_tokens_p50,simulator_input_tokens_p95,simulator_input_tokens_p99,simulator_input_tokens_std,simulator_output_tokens_mean,simulator_output_tokens_p50,simulator_output_tokens_p95,simulator_output_tokens_p99,simulator_output_tokens_std,handoff_input_tokens_mean,handoff_input_tokens_p50,handoff_input_tokens_p95,handoff_input_tokens_p99,handoff_input_tokens_std,handoff_output_tokens_mean,handoff_output_tokens_p50,handoff_output_tokens_p95,handoff_output_tokens_p99,handoff_output_tokens_std,execution_latency_ms_mean,execution_latency_ms_p50,execution_latency_ms_p95,execution_latency_ms_p99,execution_latency_ms_std,simulated_wan_latency_ms_mean,simulated_wan_latency_ms_p50,simulated_wan_latency_ms_p95,simulated_wan_latency_ms_p99,simulated_wan_latency_ms_std,retrieval_accuracy_score_mean,retrieval_accuracy_score_p50,retrieval_accuracy_score_p95,retrieval_accuracy_score_p99,retrieval_accuracy_score_std,state_integrity_score_mean,state_integrity_score_p50,state_integrity_score_p95,state_integrity_score_p99,state_integrity_score_std
C0_Baseline,R0,100,0.002927250498032663,0.0022312487999442965,0.005044376848672982,0.010231750347884459,0.0026866687791642337,0.002927250498032663,0.0022312487999442965,0.005044376848672982,0.010231750347884459,0.0026866687791642337,3590.33,3504.0,4639.05,4843.04,507.26630195588587,3787.3047900001984,3682.3371999926167,4943.350464994728,5799.741116997038,709.4150909615597,4083.37,4024.0,5209.6,5364.59,529.203810549395,960.67,921.0,1353.1,1357.01,160.48651376361818,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00243032,0.0023855,0.0029752999999999997,0.00391501,0.0003890142897118305,3693.02,3665.5,4282.4,4295.05,285.37505076653076,1187.21,1140.0,1602.1,1792.0,194.8837240510351,2732.35,2747.5,2935.0,2938.04,137.48529921413416,893.28,852.5,1279.05,1280.0,157.55069533327995,960.67,921.0,1353.1,1357.01,160.48651376361818,293.93,289.0,350.7499999999999,512.0,54.30879394720527,16198.52435,15769.979,20414.242349999997,23666.60885000001,2337.7992498268895,0.0,0.0,0.0,0.0,0.0,0.96925,1.0,1.0,1.0,0.11240857396124197,0.615,0.75,1.0,1.0,0.4174625731727336
C2_R1_Hydration,R1,100,0.0027486250110086985,0.0022687509044772014,0.003854382157442159,0.010066496033687184,0.0017984636399704069,0.0027486250110086985,0.0022687509044772014,0.003854382157442159,0.010066496033687184,0.0017984636399704069,3602.11,3547.0,4478.249999999999,4739.710000000001,409.6829236128838,4417.337684000668,4121.836300007999,5480.440309984257,9422.71274300205,1004.8689131496299,1937.31,1824.0,3127.65,3228.8600000000006,476.9433655058009,470.76,425.0,776.2499999999998,846.0,130.08136838148653,2.179245160463708,2.2297402820777434,2.5375655973160893,2.613381595748834,0.2898884853178887,508.78,536.0,538.0,539.01,65.03331146420271,0.00208876,0.0020375000000000002,0.0026638,0.0029209100000000005,0.00029813973636534934,3203.21,3180.5,3652.85,3779.09,216.84221429417286,1209.02,1181.0,1588.45,1672.4100000000003,144.52141571407333,2732.45,2747.5,2927.0,2935.07,115.61811060556212,885.42,861.5,1214.1999999999998,1279.01,121.37126348522538,470.76,425.0,776.2499999999998,846.0,130.08136838148653,323.6,318.5,389.2,435.7700000000004,44.402702620448686,17497.08113,16918.6025,22349.3333,23575.390850000003,2461.6733207786756,0.0,0.0,0.0,0.0,0.0,0.3838,0.35,0.6009999999999999,0.7214000000000007,0.11242802141815002,0.6325,0.75,1.0,1.0,0.3912400158470501
C2_R2_Summary,R2,100,0.002788749334285967,0.0023749998945277184,0.0050012446081382205,0.006665003202215317,0.001162938543421478,0.002788749334285967,0.0023749998945277184,0.0050012446081382205,0.006665003202215317,0.001162938543421478,3647.84,3561.0,4544.3,4742.34,426.1375064459828,5388.559827000427,5013.128050020896,7288.750425021859,11183.908068008624,1641.3729992294159,1226.85,1221.5,1348.45,1399.06,83.80827823073328,295.12,298.0,299.0,299.0,8.655957486032381,3.6608633257469614,3.6293951348299176,4.816617036183244,5.437441534060433,0.5313893850209838,681.85,653.5,1040.7,1062.02,129.70685217057735,0.00476299,0.0046625,0.0054004000000000005,0.00554702,0.0004027993171543367,3058.75,3066.5,3234.1,3239.05,117.92339674551441,1340.36,1290.0,1682.2,1791.01,155.56397526419798,2763.63,2773.0,2935.15,2941.05,115.07472832902974,905.92,877.5,1263.75,1280.0,129.3054275736328,295.12,298.0,299.0,299.0,8.655957486032381,434.44,427.5,512.0,512.0,67.96459666620555,22520.685140000005,21991.118,27930.408949999997,35262.69965000001,3433.5086191144915,0.0,0.0,0.0,0.0,0.0,0.8242999999999996,0.85,0.92,0.92,0.07647555164887665,0.8075,1.0,1.0,1.0,0.36030369134939483
C2_R3_RAG,R3,100,0.003249374494771473,0.0024875043891370296,0.006446873157983645,0.011840251099784043,0.003471758556493913,0.003249374494771473,0.0024875043891370296,0.006446873157983645,0.011840251099784043,0.003471758556493913,3609.7,3570.5,4633.9,5156.990000000002,508.9034780781126,4539.886596996803,4289.135950006312,6401.51196498482,7451.076903966628,1202.3148087091743,2443.89,2395.5,4048.4,4413.820000000003,931.8754411937251,637.38,624.5,996.7499999999999,1171.15,227.82048985988945,1.9303007178286287,1.674876231667748,3.079292750318419,5.9829312103666945,0.9116024744900411,338.87,329.5,729.05,731.02,220.0820144855095,0.0025767800000000003,0.0025895,0.0033132999999999995,0.00367605,0.0004994508700563049,3382.66,3401.5,3813.95,4056.44,298.9417408124867,1282.5,1234.5,1791.0,1792.0,197.41547558385588,2745.28,2757.5,2934.0,2938.03,120.38464021626682,894.62,862.0,1279.0,1280.0,140.87815870460545,637.38,624.5,996.7499999999999,1171.15,227.82048985988945,387.88,374.0,512.0,512.0,85.06365616407516,19155.42672,18573.732,27606.068349999998,28400.293460000023,3551.2689243755,0.0,0.0,0.0,0.0,0.0,0.6608999999999999,0.65,0.95,0.95,0.21771699520248758,0.9175,1.0,1.0,1.0,0.17340343133859837
C2_R4_MemGPT,R4,100,0.0028965000819880515,0.0024749970179982483,0.005603130921372212,0.0074605055124266255,0.0013039388959600392,0.0028965000819880515,0.0024749970179982483,0.005603130921372212,0.0074605055124266255,0.0013039388959600392,3653.96,3533.5,4660.049999999999,5129.710000000001,512.9802124838735,4489.07091899775,4347.016949992394,6245.068835048005,7761.167917022839,1075.7655330077584,3058.68,2951.0,4146.05,4600.950000000001,526.825092037196,805.48,762.0,1176.05,1178.0,156.59805107344087,1.3452634176284546,1.3443873775805482,1.4434849426082537,1.4879195979637034,0.07575365457989579,209.52,204.0,252.34999999999997,282.1500000000001,24.93771441010583,0.0027480300000000003,0.002672,0.0037360500000000003,0.003738,0.0005346984655859786,3568.86,3515.5,4109.05,4114.01,251.7922167184681,1309.51,1261.0,1791.0,1792.0,213.46468068511942,2763.38,2765.5,2935.05,2939.0,111.39351686700623,921.0,868.5,1279.0,1280.0,152.61146745903469,805.48,762.0,1176.05,1178.0,156.59805107344087,388.51,376.0,512.0,512.0,85.49029126163977,22208.069389999997,21828.3865,27399.8983,29226.682580000008,2951.236907667891,0.0,0.0,0.0,0.0,0.0,0.81722,0.85,0.95,0.95,0.08644773912601762,0.99,1.0,1.0,1.0,0.06041522986797286
