step_sequence_number,iteration,condition,write_algorithm,read_algorithm,session_id,write_latency_ms,flush_latency_ms,total_bytes_written,handoff_latency_ms,context_payload_bytes,context_token_count,compression_ratio,input_token_delta,estimated_cost_usd,input_tokens_used,output_tokens_used,simulator_input_tokens,simulator_output_tokens,handoff_input_tokens,handoff_output_tokens,execution_latency_ms,simulated_wan_latency_ms,wan_simulation_active,retrieval_accuracy_score,state_integrity_score,extra
0,0,C0_Baseline,W0,R0,50389405-0c4f-4278-bed1-67b95982b347,0.005037501978222281,0.005037501978222281,3148,3366.2167000002228,3638,942,1.0,0,0.002267,3711,1142,2769,877,942,265,15446.829,0.0,False,0.95,0.75,{}
1,1,C0_Baseline,W0,R0,2a2429ce-df92-4488-8167-375a22d1697d,0.002937496901722625,0.002937496901722625,3362,3962.6508000073954,3840,1020,1.0,0,0.00252,3880,1249,2860,949,1020,300,17604.815,0.0,False,0.95,0.5,{}
2,2,C0_Baseline,W0,R0,dd5fb652-a6f5-4666-a3a9-cfe10c3d39ca,0.0017874990589916706,0.0017874990589916706,3158,3703.714299976127,3630,893,1.0,0,0.002278,3632,1097,2739,820,893,277,14931.463,0.0,False,1.0,0.25,{}
3,3,C0_Baseline,W0,R0,c0b33f22-7689-4468-85c3-98370b6c1439,0.0021749983716290444,0.0021749983716290444,2721,3333.7946999818087,3175,689,1.0,0,0.001994,3052,886,2363,625,689,261,13188.491,0.0,False,0.95,0.75,{}
4,4,C0_Baseline,W0,R0,e5544863-9204-461a-a11e-f9e514c618bb,0.0037874960980843753,0.0037874960980843753,2813,3921.840000024531,3261,761,1.0,0,0.002426,3242,1035,2481,702,761,333,13364.62,0.0,False,0.875,0.0,{}
5,5,C0_Baseline,W0,R0,700040f8-aa6d-4b97-9508-fe06df2cd6b7,0.0027749993023462594,0.0027749993023462594,3246,4623.931399983121,3717,921,1.0,0,0.002361,3671,1141,2750,853,921,288,16463.268,0.0,False,1.0,0.0,{}
6,6,C0_Baseline,W0,R0,dca470d6-45ac-4495-a8fd-4ea223f16da5,0.0020749976101797074,0.0020749976101797074,3480,4266.528600011952,4031,932,1.0,0,0.002512,3685,1183,2753,867,932,316,14870.129,0.0,False,1.0,1.0,{}
7,7,C0_Baseline,W0,R0,d1f6f813-b557-4bf7-98d4-65aa2450fc5b,0.0020500010577961802,0.0020500010577961802,3637,5170.471399993403,4127,967,1.0,0,0.002652,3762,1237,2795,900,967,337,17143.564,0.0,False,1.0,0.25,{}
8,8,C0_Baseline,W0,R0,eb773fd3-cdc7-4d58-906b-73c648b3b532,0.004249999619787559,0.004249999619787559,4847,4874.505000014324,5364,1335,1.0,0,0.00297,4264,1591,2929,1264,1335,327,20536.001,0.0,False,1.0,0.25,{}
9,9,C0_Baseline,W0,R0,3cc2c2e7-79c5-4a7d-9d8e-1996f7adf63a,0.0028999966161791235,0.0028999966161791235,3353,3158.48789998563,3825,892,1.0,0,0.002317,3566,1118,2674,833,892,285,14579.68,0.0,False,1.0,1.0,{}
10,10,C0_Baseline,W0,R0,fc19e867-4b3c-43a9-90ed-3c1f894e5f18,0.0020750012481585145,0.0020750012481585145,3517,3194.666600000346,3977,936,1.0,0,0.002151,3652,1111,2716,868,936,243,16114.782,0.0,False,0.95,0.0,{}
11,11,C0_Baseline,W0,R0,bfee9d79-ee3f-4991-9124-ae14d8c01992,0.002025000867433846,0.002025000867433846,3344,3385.7529999804683,3803,925,1.0,0,0.0024,3686,1151,2761,856,925,295,13826.687,0.0,False,1.0,1.0,{}
12,12,C0_Baseline,W0,R0,e7be9f1d-e5ad-47c3-bb39-8c684b2ebd29,0.0020124971342738718,0.0020124971342738718,4062,2505.4782000079285,4503,896,1.0,0,0.001866,3620,1023,2724,829,896,194,15072.642,0.0,False,1.0,0.0,{}
13,13,C0_Baseline,W0,R0,071f277f-3eb8-4e19-9031-b3da2dbaf3fd,0.002637498255353421,0.002637498255353421,3774,3544.8840000026394,4261,985,1.0,0,0.00229,3808,1177,2823,916,985,261,15723.273,0.0,False,1.0,1.0,{}
14,14,C0_Baseline,W0,R0,585c963a-71b0-4fcd-97c5-a8630e04616a,0.0019875042198691517,0.0019875042198691517,2882,3274.857600015821,3335,735,1.0,0,0.00199,3203,917,2468,666,735,251,13941.423,0.0,False,0.95,0.0,{}
15,15,C0_Baseline,W0,R0,5db10b4d-04fe-40f0-b3b0-1fc13b7c229c,0.002037500962615013,0.002037500962615013,3146,3369.903000013437,3618,868,1.0,0,0.002288,3417,1090,2549,806,868,284,15518.909,0.0,False,1.0,1.0,{}
16,16,C0_Baseline,W0,R0,66131a44-277e-45b8-97d1-5d1a461746aa,0.0021874984668102115,0.0021874984668102115,3867,4298.675500001991,4345,897,1.0,0,0.002517,3625,1154,2728,830,897,324,15776.644,0.0,False,0.95,0.25,{}
17,17,C0_Baseline,W0,R0,2995ccac-d71f-4c29-ae32-25d742d5bd38,0.0020750048861373216,0.0020750048861373216,3757,3651.4050000114366,4217,922,1.0,0,0.002117,3678,1092,2756,853,922,239,15950.77,0.0,False,1.0,1.0,{}
18,18,C0_Baseline,W0,R0,2bdc9ef7-94b0-4ad8-ad56-9bee31e5b925,0.002025000867433846,0.002025000867433846,3308,7530.886500026099,3782,886,1.0,0,0.002121,3603,1065,2717,818,886,247,20407.834,0.0,False,1.0,1.0,{}
19,19,C0_Baseline,W0,R0,5c22a752-355f-4d46-9f6f-53ea10bb69ad,0.001925000105984509,0.001925000105984509,3205,3495.1101999904495,3700,914,1.0,0,0.002339,3661,1130,2747,845,914,285,12937.087,0.0,False,0.95,0.75,{}
20,20,C0_Baseline,W0,R0,c15c1eb1-3850-45ae-abb1-5b375e1d2ff4,0.0022999993234407157,0.0022999993234407157,4843,4351.343399990583,5423,1355,1.0,0,0.003915,4290,1792,2935,1280,1355,512,18665.685,0.0,False,1.0,1.0,{}
21,21,C0_Baseline,W0,R0,7172afe0-4742-4ac7-b6bf-5d3c9a7bfccb,0.004937504854751751,0.004937504854751751,2838,3147.2756000002846,3287,705,1.0,0,0.002035,3106,907,2401,641,705,266,15711.571,0.0,False,1.0,0.25,{}
22,22,C0_Baseline,W0,R0,a00b6a1c-8b88-4bbe-b9df-05dd1674a2a7,0.0019499966583680362,0.0019499966583680362,3429,3507.812700001523,3941,931,1.0,0,0.002231,3692,1123,2761,863,931,260,15149.21,0.0,False,1.0,0.0,{}
23,23,C0_Baseline,W0,R0,50688dff-8fde-4b2b-b977-443fdb69954c,0.002012504410231486,0.002012504410231486,3739,3785.3940000059083,4217,958,1.0,0,0.002443,3731,1190,2773,893,958,297,16101.389,0.0,False,1.0,1.0,{}
24,24,C0_Baseline,W0,R0,897452cb-3b0c-4d88-aa29-4a1a4be9e1a3,0.0032874995667953044,0.0032874995667953044,3254,3464.656299998751,3716,871,1.0,0,0.002371,3499,1106,2628,806,871,300,12463.797,0.0,False,0.85,1.0,{}
25,25,C0_Baseline,W0,R0,0d0fc54c-6f7e-4edb-8eaa-4dab3aa25af5,0.0034750009945128113,0.0034750009945128113,3423,3889.796200004639,3898,859,1.0,0,0.002384,3331,1102,2472,797,859,305,14804.689,0.0,False,1.0,1.0,{}
26,26,C0_Baseline,W0,R0,cc122df2-40b0-4afc-9b6b-43abb16fd34a,0.0021000014385208488,0.0021000014385208488,4455,2645.6728000193834,5044,1353,1.0,0,0.002703,4280,1550,2927,1280,1353,270,19919.352,0.0,False,1.0,1.0,{}
27,27,C0_Baseline,W0,R0,c3c85881-2e1b-492d-83ac-99d57dfea231,0.002437500370433554,0.002437500370433554,3317,3302.1481999894604,3805,800,1.0,0,0.00211,3279,1001,2479,739,800,262,14081.845,0.0,False,0.0,0.75,{}
28,28,C0_Baseline,W0,R0,acd4acc8-5575-4544-9f74-b77d0b4a1127,0.003237499186070636,0.003237499186070636,3748,4084.596899978351,4226,1083,1.0,0,0.002708,3994,1341,2911,1016,1083,325,19326.627,0.0,False,0.95,0.75,{}
29,29,C0_Baseline,W0,R0,f7e34f80-7717-487c-b80a-fb56e1ec95e4,0.005174999387236312,0.005174999387236312,4316,4510.589699988486,4834,1356,1.0,0,0.003076,4294,1623,2938,1279,1356,344,19557.577,0.0,False,0.95,1.0,{}
30,30,C0_Baseline,W0,R0,35a1efad-f793-4bcd-af85-6dd03ed57a6c,0.0019750004867091775,0.0019750004867091775,3366,4067.487100022845,3914,937,1.0,0,0.002382,3694,1161,2757,872,937,289,15068.23,0.0,False,1.0,0.25,{}
31,31,C0_Baseline,W0,R0,0a84a77b-2ae4-467a-a9a3-aaf12ce0c25d,0.0019625040295068175,0.0019625040295068175,3047,2580.131099995924,3496,732,1.0,0,0.001572,3161,835,2429,667,732,168,13721.482,0.0,False,0.95,0.0,{}
