condition,write_algorithm,read_algorithm,n,write_latency_ms_mean,write_latency_ms_p50,write_latency_ms_p95,write_latency_ms_p99,write_latency_ms_std,flush_latency_ms_mean,flush_latency_ms_p50,flush_latency_ms_p95,flush_latency_ms_p99,flush_latency_ms_std,total_bytes_written_mean,total_bytes_written_p50,total_bytes_written_p95,total_bytes_written_p99,total_bytes_written_std,handoff_latency_ms_mean,handoff_latency_ms_p50,handoff_latency_ms_p95,handoff_latency_ms_p99,handoff_latency_ms_std,context_payload_bytes_mean,context_payload_bytes_p50,context_payload_bytes_p95,context_payload_bytes_p99,context_payload_bytes_std,context_token_count_mean,context_token_count_p50,context_token_count_p95,context_token_count_p99,context_token_count_std,compression_ratio_mean,compression_ratio_p50,compression_ratio_p95,compression_ratio_p99,compression_ratio_std,input_token_delta_mean,input_token_delta_p50,input_token_delta_p95,input_token_delta_p99,input_token_delta_std,estimated_cost_usd_mean,estimated_cost_usd_p50,estimated_cost_usd_p95,estimated_cost_usd_p99,estimated_cost_usd_std,input_tokens_used_mean,input_tokens_used_p50,input_tokens_used_p95,input_tokens_used_p99,input_tokens_used_std,output_tokens_used_mean,output_tokens_used_p50,output_tokens_used_p95,output_tokens_used_p99,output_tokens_used_std,simulator_input_tokens_mean,simulator_input_tokens_p50,simulator_input_tokens_p95,simulator_input_tokens_p99,simulator_input_tokens_std,simulator_output_tokens_mean,simulator_output_tokens_p50,simulator_output_tokens_p95,simulator_output_tokens_p99,simulator_output_tokens_std,handoff_input_tokens_mean,handoff_input_tokens_p50,handoff_input_tokens_p95,handoff_input_tokens_p99,handoff_input_tokens_std,handoff_output_tokens_mean,handoff_output_tokens_p50,handoff_output_tokens_p95,handoff_output_tokens_p99,handoff_output_tokens_std,execution_latency_ms_mean,execution_latency_ms_p50,execution_latency_ms_p95,execution_latency_ms_p99,execution_latency_ms_std,simulated_wan_latency_ms_mean,simulated_wan_latency_ms_p50,simulated_wan_latency_ms_p95,simulated_wan_latency_ms_p99,simulated_wan_latency_ms_std,retrieval_accuracy_score_mean,retrieval_accuracy_score_p50,retrieval_accuracy_score_p95,retrieval_accuracy_score_p99,retrieval_accuracy_score_std,state_integrity_score_mean,state_integrity_score_p50,state_integrity_score_p95,state_integrity_score_p99,state_integrity_score_std
C0_Control,W0,R0,3,0.0024293333448592116,0.002380124982437337,0.0026215499872250803,0.0026430099876506574,0.0001625259439934184,0.0024293333448592116,0.002380124982437337,0.0026215499872250803,0.0026430099876506574,0.0001625259439934184,3337.0,3323.0,3450.8,3462.16,99.29081864234308,3694.9522236666326,3632.0269579998694,3989.020081400031,4020.7528034800453,250.78214491807663,3826.0,3855.0,3934.2,3941.24,109.30995685053885,929.3333333333334,912.0,970.5,975.7,34.120700787384514,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002241,0.002204,0.0023956999999999997,0.00241274,0.0001312326178966189,3633.0,3613.0,3766.0,3779.6,115.18101695447331,1126.6666666666667,1099.0,1187.2,1195.04,50.108770578501414,2703.6666666666665,2701.0,2795.5,2803.9,82.48770952222047,864.3333333333334,846.0,902.7,907.74,31.752515210959622,929.3333333333334,912.0,970.5,975.7,34.120700787384514,262.3333333333333,261.0,285.3,287.46,20.434176165325468,16595.294666666665,16624.769,16678.148,16682.8928,87.05650734373036,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,0.3535533905932738
C1_Synergy,W2,R1,3,0.3214545416672839,0.31023812499597625,0.37060461251030574,0.3759705225115795,0.04178790198666975,0.41710766671106586,0.4289810001409933,0.4441064000047845,0.4454508799926771,0.02948445342444038,3764.0,3731.0,3885.8,3899.56,102.70670215067109,4577.78749533342,4495.222296000065,4755.143516400085,4778.247624880087,146.79335832538274,2094.6666666666665,2113.0,2149.9,2153.18,57.412735714493024,490.0,483.0,558.6,565.32,60.21627686929839,2.0402662656814354,1.9716805942432682,2.157356458036127,2.1738609792621584,0.09738360101029528,521.3333333333334,536.0,537.8,537.96,22.17105219775452,0.0022066666666666667,0.00222,0.0022983,0.00230526,8.787238221167998e-05,3255.0,3179.0,3449.9,3473.98,161.8661998894972,1262.0,1222.0,1343.5,1354.3,67.45368781616021,2765.0,2759.0,2897.6,2909.92,118.46799849185714,918.6666666666666,885.0,996.6,1006.52,64.56177059392208,490.0,483.0,558.6,565.32,60.21627686929839,343.3333333333333,348.0,358.8,359.76,15.860503004493758,16816.145999999997,16837.016,17097.7055,17120.8779,262.4779219604314,0.0,0.0,0.0,0.0,0.0,0.47333333333333333,0.35,0.6829999999999999,0.7126,0.17441967269268172,1.0,1.0,1.0,1.0,0.0
C3_Tradeoff,W4,R2,3,0.27662387503823993,0.2625122500319321,0.32195207502354606,0.32723561502280063,0.03797614838038574,0.01695900004961004,0.017481999975643703,0.018940900099551072,0.01907058011056506,0.0019985956853999704,3547.0,3468.0,4098.0,4154.0,478.0676381712808,4520.188988000048,4243.724254999961,5482.021335500099,5592.092187100111,808.788386598561,1298.3333333333333,1319.0,1370.3,1374.86,73.32272650564913,285.0,288.0,297.0,297.8,12.027745701779143,3.3256859665466436,3.0854545454545454,3.766947431481204,3.827524576905796,0.36586601848021355,645.6666666666666,532.0,839.8,867.16,161.45656450644,0.004633333333333334,0.004963,0.0049972,0.00500024,0.0004933331081080568,2900.0,2772.0,3173.4,3209.08,226.2800624594811,1290.3333333333333,1265.0,1511.6,1533.52,193.52404386937442,2615.0,2503.0,2878.3,2911.66,218.18799233688367,862.0,753.0,1064.3999999999999,1092.08,167.76372273726722,285.0,288.0,297.0,297.8,12.027745701779143,428.3333333333333,440.0,504.8,510.56,73.54061613980551,19288.191333333336,20203.342,21117.6016,21198.869120000003,2054.8142173807896,0.0,0.0,0.0,0.0,0.0,0.5499999999999999,0.65,0.83,0.846,0.29439202887759486,1.0,1.0,1.0,1.0,0.0
C4_Hybrid_W2_R1,W2,R1,3,0.29038670831482705,0.2963168749374745,0.3015483499922311,0.3020133699970984,0.01272007392475,0.4045843334097299,0.41627100017649354,0.4535255999144283,0.4568371198911336,0.048815785660425985,3714.6666666666665,3704.0,3899.3,3916.66,164.2890406840605,3739.5945593333786,3767.639571000018,3995.465160600088,4015.716324120094,241.849955094783,1817.0,1853.0,1884.5,1887.3,76.99783546741212,404.6666666666667,402.0,420.0,421.6,13.199326582148887,2.305956345535884,2.332748538011696,2.3359761249876105,2.336263021607692,0.04045221645338076,536.6666666666666,537.0,537.0,537.0,0.4714045207910317,0.0019113333333333335,0.00189,0.0019593,0.00196546,3.9718453589679903e-05,3149.0,3143.0,3180.8,3184.16,27.27636339397171,1148.0,1155.0,1156.8,1156.96,11.343133018115703,2744.3333333333335,2741.0,2760.8,2762.56,14.079141387961917,846.6666666666666,844.0,862.0,863.6,13.199326582148888,404.6666666666667,402.0,420.0,421.6,13.199326582148887,301.3333333333333,300.0,311.7,312.74,9.030811456096044,14712.236666666666,14655.594,15205.3932,15254.26424,431.278987463516,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,0.35,0.44,0.448,0.08164965809277261,0.8333333333333334,1.0,1.0,1.0,0.23570226039551584
