condition,write_algorithm,read_algorithm,n,write_latency_ms_mean,write_latency_ms_p50,write_latency_ms_p95,write_latency_ms_p99,write_latency_ms_std,flush_latency_ms_mean,flush_latency_ms_p50,flush_latency_ms_p95,flush_latency_ms_p99,flush_latency_ms_std,total_bytes_written_mean,total_bytes_written_p50,total_bytes_written_p95,total_bytes_written_p99,total_bytes_written_std,handoff_latency_ms_mean,handoff_latency_ms_p50,handoff_latency_ms_p95,handoff_latency_ms_p99,handoff_latency_ms_std,context_payload_bytes_mean,context_payload_bytes_p50,context_payload_bytes_p95,context_payload_bytes_p99,context_payload_bytes_std,context_token_count_mean,context_token_count_p50,context_token_count_p95,context_token_count_p99,context_token_count_std,compression_ratio_mean,compression_ratio_p50,compression_ratio_p95,compression_ratio_p99,compression_ratio_std,input_token_delta_mean,input_token_delta_p50,input_token_delta_p95,input_token_delta_p99,input_token_delta_std,estimated_cost_usd_mean,estimated_cost_usd_p50,estimated_cost_usd_p95,estimated_cost_usd_p99,estimated_cost_usd_std,input_tokens_used_mean,input_tokens_used_p50,input_tokens_used_p95,input_tokens_used_p99,input_tokens_used_std,output_tokens_used_mean,output_tokens_used_p50,output_tokens_used_p95,output_tokens_used_p99,output_tokens_used_std,simulator_input_tokens_mean,simulator_input_tokens_p50,simulator_input_tokens_p95,simulator_input_tokens_p99,simulator_input_tokens_std,simulator_output_tokens_mean,simulator_output_tokens_p50,simulator_output_tokens_p95,simulator_output_tokens_p99,simulator_output_tokens_std,handoff_input_tokens_mean,handoff_input_tokens_p50,handoff_input_tokens_p95,handoff_input_tokens_p99,handoff_input_tokens_std,handoff_output_tokens_mean,handoff_output_tokens_p50,handoff_output_tokens_p95,handoff_output_tokens_p99,handoff_output_tokens_std,execution_latency_ms_mean,execution_latency_ms_p50,execution_latency_ms_p95,execution_latency_ms_p99,execution_latency_ms_std,simulated_wan_latency_ms_mean,simulated_wan_latency_ms_p50,simulated_wan_latency_ms_p95,simulated_wan_latency_ms_p99,simulated_wan_latency_ms_std,retrieval_accuracy_score_mean,retrieval_accuracy_score_p50,retrieval_accuracy_score_p95,retrieval_accuracy_score_p99,retrieval_accuracy_score_std,state_integrity_score_mean,state_integrity_score_p50,state_integrity_score_p95,state_integrity_score_p99,state_integrity_score_std
D_W0_R0,W0,R0,100,0.003635875473264605,0.003074994310736656,0.006431886140489949,0.016203117484110414,0.002367253957888317,0.003635875473264605,0.003074994310736656,0.006431886140489949,0.016203117484110414,0.002367253957888317,3637.83,3536.0,4547.45,5094.380000000002,482.0326556365243,4087.950418999535,3743.06754997815,6451.0408350121,8320.052317997333,1163.5908191614863,4138.96,4015.0,5119.6,5659.560000000002,505.3850595338173,968.04,927.0,1319.55,1357.01,145.92668844320426,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024309900000000005,0.002385,0.0030130499999999998,0.0034203800000000024,0.00031022461201523,3698.87,3683.5,4252.5,4294.06,259.06136937027105,1192.95,1149.0,1600.4,1692.4300000000003,170.129384587143,2730.83,2753.0,2931.15,2938.04,133.2062352144223,900.36,860.0,1246.6999999999998,1280.0,143.734583173292,968.04,927.0,1319.55,1357.01,145.92668844320426,292.59,291.0,340.74999999999994,413.9900000000005,40.54506011834241,17228.6498,16958.391499999998,21573.7165,23829.35134,2645.5080675901972,0.0,0.0,0.0,0.0,0.0,0.986,1.0,1.0,1.0,0.052478567053607705,0.61,0.75,1.0,1.0,0.3878143885933063
D_W0_R1,W0,R1,100,0.003362999632372521,0.0028625036065932363,0.00694186965120025,0.008835479893605249,0.0017698677094371627,0.003362999632372521,0.0028625036065932363,0.00694186965120025,0.008835479893605249,0.0017698677094371627,3626.09,3564.0,4552.65,4918.980000000001,440.19879815828665,4381.322703997721,4157.149700040463,5427.83658002154,7989.157727955043,974.9484614309158,1895.86,1772.0,3063.4,3290.28,445.6207136119235,468.83,427.0,846.0,847.0,129.8278903009673,2.2258809136320714,2.257047869353281,2.513891255391654,2.791595671468083,0.24320326227560507,529.05,536.0,539.0,539.01,18.927427189134818,0.00208668,0.0020264999999999997,0.00259555,0.00340601,0.00032269130388034944,3226.79,3180.0,3776.15,3785.02,212.049112000027,1226.43,1193.0,1579.8,1792.0,158.31400790833388,2757.96,2759.0,2930.15,2938.03,100.02568870045334,902.86,866.0,1280.0,1280.0,131.4259502533651,468.83,427.0,846.0,847.0,129.8278903009673,323.57,317.0,378.45,512.0,49.58855815609081,17248.7995,16997.499000000003,21591.231649999994,24414.382240000014,2412.478392481062,0.0,0.0,0.0,0.0,0.0,0.3978000000000001,0.35,0.65,0.7510000000000006,0.11898386445228612,0.715,1.0,1.0,1.0,0.3640398329853479
D_W0_R2,W0,R2,100,0.0060251243121456355,0.004237510438542813,0.01590187894180417,0.029744616695097786,0.006746934373680527,0.0060251243121456355,0.004237510438542813,0.01590187894180417,0.029744616695097786,0.006746934373680527,3593.55,3566.0,4645.05,5071.04,473.3734757039097,4905.635878000758,4785.199650010327,6278.350395022426,6562.235606021139,888.8260331442995,1209.83,1222.5,1325.4,1354.4400000000003,85.54461467561823,295.18,298.0,298.0,299.0,8.911094208906109,3.6660039579213164,3.501157858323146,5.0078526714937155,5.165288827473723,0.5680067506255051,674.49,634.0,1056.2,1063.01,138.98471102966684,0.004767700000000001,0.004761,0.00552535,0.005550009999999999,0.00044168865731417637,3039.59,3049.5,3231.0,3240.03,115.48108892801453,1335.91,1293.5,1773.3,1792.0,172.93872296278818,2744.41,2752.0,2933.0,2942.03,112.5876631785206,899.1,858.5,1279.0,1280.0,137.9364708842444,295.18,298.0,298.0,299.0,8.911094208906109,436.81,440.0,512.0,512.0,72.2264072206281,20952.34551,20637.199,25787.084,28379.855050000002,2657.7602986990437,0.0,0.0,0.0,0.0,0.0,0.8316999999999996,0.85,0.92,0.95,0.07413238158861482,0.86,1.0,1.0,1.0,0.3027375100644121
D_W0_R3,W0,R3,100,0.015510750163230114,0.0044625194277614355,0.01018749717331957,0.037460871317312704,0.10410021547708888,0.015510750163230114,0.0044625194277614355,0.01018749717331957,0.037460871317312704,0.10410021547708888,3740.22,3616.5,4928.549999999999,5369.1900000000005,615.630710410064,4547.899770005024,4405.283050029539,6216.862244962249,7030.6940630322815,1033.3178729123165,2252.58,2217.0,3936.95,4612.820000000001,952.5519742250289,598.16,620.5,1046.3999999999999,1125.4800000000014,244.57439440791836,2.2549703800421064,2.1174610543170758,4.633406525784752,5.8978665036674975,1.2100891831578213,428.37,480.0,730.05,732.0,224.9433553141768,0.002565759999999999,0.0025055,0.0034486999999999994,0.0036854800000000014,0.0005929415168463074,3364.62,3367.0,3902.2999999999997,4063.450000000001,324.34965022333535,1337.65,1251.0,1792.0,1792.0,249.11834035253202,2766.46,2773.0,2935.05,2938.01,140.4110693642065,944.13,875.0,1280.0,1280.0,179.4853562271864,598.16,620.5,1046.3999999999999,1125.4800000000014,244.57439440791836,393.52,368.5,512.0,512.0,90.48541097878707,19006.03256,18008.6765,24980.31385,34482.29351000012,5002.247341423801,0.0,0.0,0.0,0.0,0.0,0.6085999999999999,0.6,0.95,0.9505000000000002,0.1928368222098674,0.93,1.0,1.0,1.0,0.16232683080747928
D_W0_R4,W0,R4,100,0.003587875035009347,0.0030562478059437126,0.006623749140999278,0.008666618159622894,0.0017026621682573928,0.003587875035009347,0.0030562478059437126,0.006623749140999278,0.008666618159622894,0.0017026621682573928,3649.7,3585.5,4652.55,5067.26,512.563527769973,4684.971299003228,4548.862850002479,6078.0004800035385,7629.587613986808,889.889964984318,3040.71,2952.0,4095.2,4345.460000000002,507.78289248457355,792.93,754.0,1169.1,1177.01,150.75126898305038,1.3493141046164,1.345532184248015,1.470946675103038,1.531322333487712,0.07193777458585245,211.28,208.5,252.1,267.34000000000015,25.631262161665003,0.0027024800000000006,0.0025989999999999997,0.0037291,0.00373701,0.00045942706668197075,3548.11,3522.5,4092.35,4111.06,269.26536706379454,1292.34,1246.0,1790.05,1792.0,193.78607896337653,2755.18,2772.5,2932.1,2939.03,135.44071618239474,910.43,873.5,1279.05,1280.0,147.70438415971276,792.93,754.0,1169.1,1177.01,150.75126898305038,381.91,366.5,512.0,512.0,73.17295880309885,22779.916480000004,22191.4705,29247.222099999995,32339.46064000003,3494.501643804645,0.0,0.0,0.0,0.0,0.0,0.80405,0.85,0.92,0.95,0.09540884392969029,0.9675,1.0,1.0,1.0,0.12577261228105266
D_W1_R0,W1,R0,100,1.216087875145604,1.142624987551244,1.7104199872846948,3.057562636313381,0.39009409663821354,0.010735900985309854,0.00927500514080748,0.02063001156784594,0.02469123413902708,0.004628464998255299,3556.87,3550.0,4143.9,4779.900000000001,388.54211238937796,3767.970726006315,3695.3660500003025,4602.628645033109,6247.52725400846,643.7637569054419,4045.27,4030.0,4615.2,5355.41,404.92823697539296,943.61,927.5,1110.6999999999996,1352.02,113.02627084001313,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00236311,0.002314,0.00280675,0.0030011900000000047,0.00028185581047762703,3678.31,3676.0,4040.2499999999995,4278.05,216.16159210183477,1160.26,1143.5,1359.2999999999995,1609.8300000000008,137.64393339337553,2734.7,2752.5,2920.05,2929.01,114.46881671442226,876.36,857.5,1038.7999999999995,1280.0,111.63767464436009,943.61,927.5,1110.6999999999996,1352.02,113.02627084001313,283.9,279.5,344.1,366.47000000000077,41.137695608772255,16452.81698,16010.8205,20478.3655,21218.36818,2100.424966415439,0.0,0.0,0.0,0.0,0.0,0.9590000000000001,1.0,1.0,1.0,0.1559455033016342,0.5275,0.25,1.0,1.0,0.4371713050967549
D_W1_R1,W1,R1,100,1.168886623781873,1.0838124981091823,1.4638362521509407,4.210097748000409,0.5145728323556238,0.00930700113531202,0.008424998668488115,0.01601627009222284,0.0180852561607026,0.003393926361527832,3581.28,3519.0,4494.049999999999,4742.43,426.56122843033916,4230.217539000441,4133.784749981714,5219.639854988782,5914.56009805028,563.9578927121772,1915.73,1785.5,2975.0,3114.330000000001,435.34466471980573,479.41,434.0,843.1,847.0,135.2289979996894,2.185062227231944,2.2595528482465643,2.5033074762988554,2.547470669951773,0.26777834055390326,518.49,536.0,539.0,539.01,52.86690741853546,0.00208291,0.002003,0.0026902,0.00340205,0.0003344252710247836,3236.21,3190.5,3771.15,3787.02,221.18961526256155,1224.16,1184.0,1569.1499999999999,1790.02,163.45046466743372,2756.8,2762.0,2937.05,2942.04,108.00601835083081,903.46,871.5,1279.05,1280.0,136.1136598582229,479.41,434.0,843.1,847.0,135.2289979996894,320.7,306.5,414.6499999999999,512.0,52.96479963145334,17283.50739,17071.197500000002,21709.361999999997,25099.315600000016,2597.885616471514,0.0,0.0,0.0,0.0,0.0,0.3895,0.35,0.65,0.85,0.12167477141955108,0.7025,1.0,1.0,1.0,0.37864066078539427
D_W1_R2,W1,R2,100,1.0266555003909161,1.0275374916091096,1.3560268653236562,1.476566617566278,0.1694189381243248,0.009179601591313258,0.008125018212012947,0.01770125309121795,0.02255699713714421,0.003722227262057179,3675.12,3613.5,4644.15,5018.6,481.0645752910933,5099.335751002072,5022.756499995012,6923.487830019439,7804.862760033589,1053.274877825657,1243.44,1246.5,1361.35,1413.15,87.17767145318807,295.75,298.0,298.0,298.01,7.377499576414762,3.636603187964354,3.4578847442483807,4.859448187575798,5.186642032604404,0.5792058907006629,689.63,634.5,1059.0,1060.01,153.46665142629521,0.00472673,0.00468,0.005322250000000001,0.0055460100000000005,0.00039864934102541797,3040.11,3047.5,3232.0,3235.03,121.76788533927983,1339.48,1294.0,1696.6499999999999,1792.0,173.1904431543496,2744.36,2751.0,2934.0,2938.02,121.10875443170903,914.72,860.5,1280.0,1280.0,151.97362139529346,295.75,298.0,298.0,298.01,7.377499576414762,424.76,412.0,512.0,512.0,67.87210325310393,22175.11816,21494.1065,25912.753099999998,32852.643180000035,3054.711419292329,0.0,0.0,0.0,0.0,0.0,0.8216999999999998,0.85,0.92,0.95,0.09051027565972826,0.81,1.0,1.0,1.0,0.3337663853655727
D_W1_R3,W1,R3,100,0.9838730003684759,0.9828875008679461,1.1939787626033649,1.256228000711417,0.13364503238696102,0.009025199746247381,0.007824986823834479,0.017268735973630097,0.021837006061105075,0.0038953704239924015,3632.75,3563.5,4661.95,5041.26,474.19950179223093,4612.045809000847,4304.034650005633,6658.8578650145755,8508.672988998602,1271.8124021616798,2504.93,2442.0,3726.75,4190.190000000001,678.5892757036468,654.55,638.0,946.15,1134.01,172.70601466075234,1.7267043910714708,1.5672451468171282,2.325395541626649,2.6362629152052195,0.43272843294279945,341.3,277.5,728.05,731.01,186.1769319760104,0.002629349999999999,0.002585,0.003309,0.0035257100000000005,0.00047254084215017856,3403.51,3441.0,3806.15,4056.07,256.6487675793515,1309.48,1248.0,1791.0,1792.0,215.2882477052568,2748.96,2759.5,2929.15,2935.01,128.56250775401045,914.52,862.0,1279.0,1280.0,151.5357700346687,654.55,638.0,946.15,1134.01,172.70601466075234,394.96,373.5,512.0,512.0,81.76917756710044,18299.940720000002,17998.509,22689.59585,26077.304420000004,2644.001532584602,0.0,0.0,0.0,0.0,0.0,0.6874000000000002,0.65,0.95,0.95,0.17091296030436073,0.9325,1.0,1.0,1.0,0.17268106439329123
D_W1_R4,W1,R4,100,1.0384585012798198,0.9950437488441821,1.2661168722843286,1.421208002648215,0.3631572670187905,0.00982080036192201,0.008049995813053101,0.015321250248234716,0.02319499675650184,0.008635853522691408,3619.76,3572.5,4508.099999999999,5178.760000000001,492.61512603654387,4626.139773002942,4470.6015000119805,6401.4387800503755,7801.163421006065,1089.947207778124,3030.61,2945.5,4055.3999999999996,4524.730000000002,510.48619756071764,779.95,743.5,1165.55,1178.0,149.48065928406928,1.3453868026122422,1.3326162390929346,1.4805757638493007,1.54103939982069,0.07544891110262737,213.27,207.5,257.59999999999997,292.11000000000007,27.030299665375523,0.0026886000000000006,0.0026615,0.0037032000000000002,0.003738,0.0005016335913792057,3523.76,3495.5,4071.2,4113.05,263.6787864049742,1281.47,1242.5,1781.5,1792.0,195.63396714272292,2743.81,2751.5,2930.1,2935.07,133.24148715771676,899.74,861.5,1279.0,1280.0,142.93996082271744,779.95,743.5,1165.55,1178.0,149.48065928406928,381.73,378.5,512.0,512.0,82.33053564747408,22056.71144,21532.7465,26684.99,34481.50677,2941.1282847130396,0.0,0.0,0.0,0.0,0.0,0.8235999999999997,0.85,0.95,0.95,0.08030591509969859,0.985,1.0,1.0,1.0,0.08529361054615991
