metric,baseline,comparison,n,statistic,p_value,significant_p05,effect_size,median_reduction
context_token_count,D_W0_R0,D_W0_R1,100,5049.0,2.0067199812816154e-18,True,3.426378034962243,500.0
context_token_count,D_W0_R0,D_W0_R2,100,5050.0,1.946631983635448e-18,True,4.310383567982502,629.0
context_token_count,D_W0_R0,D_W0_R3,100,4911.0,1.1639923927207753e-16,True,2.100369735431855,306.5
context_token_count,D_W0_R0,D_W0_R4,100,4416.5,3.919481494957295e-11,True,1.1855268000969361,173.0
context_token_count,D_W0_R0,D_W1_R0,100,2805.0,0.16783645814710973,False,-0.003426378034962243,-0.5
context_token_count,D_W0_R0,D_W1_R1,100,5050.0,1.9472910005783504e-18,True,3.3784087424727716,493.0
context_token_count,D_W0_R0,D_W1_R2,100,5050.0,1.9463025544510582e-18,True,4.310383567982502,629.0
context_token_count,D_W0_R0,D_W1_R3,100,4896.0,1.7847380339890118e-16,True,1.9804465042081765,289.0
context_token_count,D_W0_R0,D_W1_R4,100,4373.0,1.0484160756485111e-10,True,1.257480738831143,183.5
context_token_count,D_W0_R0,D_W2_R0,100,2653.5,0.3293057719206861,False,-0.04454291445450916,-6.5
context_token_count,D_W0_R0,D_W2_R1,100,5048.0,2.0679390606279062e-18,True,3.512037485836299,512.5
context_token_count,D_W0_R0,D_W2_R2,100,5050.0,1.94575362324498e-18,True,4.310383567982502,629.0
context_token_count,D_W0_R0,D_W2_R3,100,4920.5,8.86194823597951e-17,True,2.0900906013269682,305.0
context_token_count,D_W0_R0,D_W2_R4,100,4752.5,9.375192264893839e-15,True,1.2917445191807657,188.5
context_token_count,D_W0_R0,D_W3_R0,100,2363.5,0.7106553050717217,False,-0.07538031676916934,-11.0
context_token_count,D_W0_R0,D_W3_R1,100,5044.0,2.333637630273376e-18,True,3.429804412997205,500.5
context_token_count,D_W0_R0,D_W3_R2,100,5050.0,1.9463025544510582e-18,True,4.310383567982502,629.0
context_token_count,D_W0_R0,D_W3_R3,100,4875.0,3.2361806212072354e-16,True,2.0524004429423837,299.5
context_token_count,D_W0_R0,D_W3_R4,100,4305.5,4.6205117415646756e-10,True,1.1923795561668606,174.0
context_token_count,D_W0_R0,D_W4_R0,100,2181.0,0.8815548199808186,False,-0.07880669480413159,-11.5
context_token_count,D_W0_R0,D_W4_R1,100,5038.0,2.7965606639262393e-18,True,3.3955406326475828,495.5
context_token_count,D_W0_R0,D_W4_R2,100,5050.0,1.946412358306839e-18,True,4.310383567982502,629.0
context_token_count,D_W0_R0,D_W4_R3,100,4894.5,1.8624994808509868e-16,True,2.0352685527675725,297.0
context_token_count,D_W0_R0,D_W4_R4,100,4425.5,3.1884925536969e-11,True,1.1649685318871625,170.0
