metric,baseline,comparison,n,statistic,p_value,significant_p05,effect_size,median_reduction
handoff_latency_ms,D_W0_R0,D_W0_R1,10,2.0,0.998046875,False,-1.5335321096420536,-674.5111500058556
handoff_latency_ms,D_W0_R0,D_W0_R2,10,0.0,1.0,False,-3.054807419228772,-1343.6312499979977
handoff_latency_ms,D_W0_R0,D_W0_R3,10,8.0,0.9814453125,False,-1.4045068977829618,-617.7604999975301
handoff_latency_ms,D_W0_R0,D_W0_R4,10,6.0,0.990234375,False,-1.9726545553268926,-867.6554499979829
handoff_latency_ms,D_W0_R0,D_W1_R0,10,23.0,0.6875,False,-0.10830581902185953,-47.637400013627484
handoff_latency_ms,D_W0_R0,D_W1_R1,10,0.0,1.0,False,-1.0156927953720096,-446.7439000145532
handoff_latency_ms,D_W0_R0,D_W1_R2,10,0.0,1.0,False,-3.4763824097433207,-1529.0574499958893
handoff_latency_ms,D_W0_R0,D_W1_R3,10,0.0,1.0,False,-1.4739263274667465,-648.2940499990946
handoff_latency_ms,D_W0_R0,D_W1_R4,10,6.0,0.990234375,False,-1.3168173663304215,-579.1909999970812
handoff_latency_ms,D_W0_R0,D_W2_R0,10,23.0,0.6875,False,-0.41330871840052125,-181.79035000503063
handoff_latency_ms,D_W0_R0,D_W2_R1,10,2.0,0.998046875,False,-1.603041117057621,-705.0841000163928
handoff_latency_ms,D_W0_R0,D_W2_R2,10,1.0,0.9990234375,False,-2.7567063233465072,-1212.5139999989187
handoff_latency_ms,D_W0_R0,D_W2_R3,10,3.0,0.9970703125,False,-2.4054231220986417,-1058.0050499993376
handoff_latency_ms,D_W0_R0,D_W2_R4,10,10.0,0.9677734375,False,-1.071160382795449,-471.1408500006655
handoff_latency_ms,D_W0_R0,D_W3_R0,10,41.0,0.0966796875,False,0.5397110539245368,237.3873500037007
handoff_latency_ms,D_W0_R0,D_W3_R1,10,14.0,0.919921875,False,-1.0563003726612936,-464.6048000140581
handoff_latency_ms,D_W0_R0,D_W3_R2,10,1.0,0.9990234375,False,-3.403257213802407,-1496.8939499958651
handoff_latency_ms,D_W0_R0,D_W3_R3,10,10.0,0.9677734375,False,-0.5003822325786869,-220.0889000087045
handoff_latency_ms,D_W0_R0,D_W3_R4,10,6.0,0.990234375,False,-2.1436802324354685,-942.8796500142198
handoff_latency_ms,D_W0_R0,D_W4_R0,10,16.0,0.8837890625,False,-0.3260508196624849,-143.4107000095537
handoff_latency_ms,D_W0_R0,D_W4_R1,10,4.0,0.9951171875,False,-1.1021758696642625,-484.78275001980364
handoff_latency_ms,D_W0_R0,D_W4_R2,10,1.0,0.9990234375,False,-3.837860191182986,-1688.0504000146175
handoff_latency_ms,D_W0_R0,D_W4_R3,10,5.0,0.9931640625,False,-0.9845338477516307,-433.03889999515377
handoff_latency_ms,D_W0_R0,D_W4_R4,10,10.0,0.9677734375,False,-1.0780179658498608,-474.1571000049589
