step_sequence_number,iteration,condition,write_algorithm,read_algorithm,session_id,write_latency_ms,flush_latency_ms,total_bytes_written,handoff_latency_ms,context_payload_bytes,context_token_count,compression_ratio,input_token_delta,estimated_cost_usd,input_tokens_used,output_tokens_used,simulator_input_tokens,simulator_output_tokens,handoff_input_tokens,handoff_output_tokens,execution_latency_ms,simulated_wan_latency_ms,wan_simulation_active,retrieval_accuracy_score,state_integrity_score,extra
0,0,D_W0_R0,W0,R0,08f44946-16ca-415b-a75c-5d8f67137146,0.002749995474005118,0.002749995474005118,3223,3264.9334000016097,3722,901,1.0,0,0.002046,3632,1061,2731,832,901,229,16269.557,0.0,False,1.0,0.0,"{""interaction_class"": ""Baseline""}"
1,1,D_W0_R0,W0,R0,f9d017bb-beba-4932-a9c0-b5776e58148a,0.0040875056583900005,0.0040875056583900005,3831,4265.62799999374,4341,945,1.0,0,0.002515,3719,1193,2774,879,945,314,14757.437,0.0,False,1.0,0.25,"{""interaction_class"": ""Baseline""}"
2,2,D_W0_R0,W0,R0,c04dd1f2-ac4c-4cdb-97ff-e3e9f5266c0f,0.00455000190413557,0.00455000190413557,4064,4034.6019999997225,4654,1338,1.0,0,0.003898,4197,1777,2859,1265,1338,512,15833.824,0.0,False,0.95,1.0,"{""interaction_class"": ""Baseline""}"
3,3,D_W0_R0,W0,R0,d2dc1d62-dd42-4d7a-a8ba-4a85f251a462,0.0023625070753041655,0.0023625070753041655,3440,2601.363499998115,3941,975,1.0,0,0.001895,3760,1094,2785,910,975,184,14145.093,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
4,4,D_W0_R0,W0,R0,7164c750-2720-47ce-aa3d-0324dc944423,0.0019499966583680362,0.0019499966583680362,3110,3307.6249999867287,3628,904,1.0,0,0.002274,3636,1110,2732,836,904,274,13525.514,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
5,5,D_W0_R0,W0,R0,4ba98a96-0a2a-4548-bb55-3151c075c87e,0.0031125018722377717,0.0031125018722377717,4029,3881.2123999814503,4517,1020,1.0,0,0.002615,3872,1271,2852,952,1020,319,17718.61,0.0,False,1.0,0.0,"{""interaction_class"": ""Baseline""}"
6,6,D_W0_R0,W0,R0,8b8b76ef-303a-4555-a8e1-7c1448692362,0.003137498424621299,0.003137498424621299,3838,3752.8005999920424,4328,949,1.0,0,0.002379,3715,1171,2766,885,949,286,16871.148,0.0,False,0.95,0.0,"{""interaction_class"": ""Baseline""}"
7,7,D_W0_R0,W0,R0,460bf463-997e-419d-8478-645d1659e364,0.00214999818126671,0.00214999818126671,3472,3599.7048999997787,3961,989,1.0,0,0.002504,3820,1221,2831,918,989,303,16280.852,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
8,8,D_W0_R0,W0,R0,30257dd0-2c11-4163-9229-6b8d4f97ca0b,0.0021749983716290444,0.0021749983716290444,3901,3541.8926999846008,4374,916,1.0,0,0.002216,3662,1108,2746,848,916,260,15176.785,0.0,False,1.0,1.0,"{""interaction_class"": ""Baseline""}"
9,9,D_W0_R0,W0,R0,7a910459-a3d9-44a3-a22d-398be5824fbd,0.0020874977053608745,0.0020874977053608745,3249,3652.762999990955,3783,947,1.0,0,0.002512,3719,1193,2772,880,947,313,15497.345,0.0,False,0.5,1.0,"{""interaction_class"": ""Baseline""}"
