metric,baseline,comparison,n,statistic,p_value,significant_p05,effect_size,median_reduction
estimated_cost_usd,D_W0_R0,D_W0_R1,10,55.0,0.0009765625,True,1.0084680247516622,0.0005225
estimated_cost_usd,D_W0_R0,D_W0_R2,10,0.0,1.0,False,-4.626407378621501,-0.002397
estimated_cost_usd,D_W0_R0,D_W0_R3,10,10.0,0.9677734375,False,-0.8058093786293185,-0.0004174999999999999
estimated_cost_usd,D_W0_R0,D_W0_R4,10,24.0,0.65234375,False,-0.035706523364413476,-1.8500000000000287e-05
estimated_cost_usd,D_W0_R0,D_W1_R0,10,29.0,0.4609375,False,0.1495813816617304,7.750000000000031e-05
estimated_cost_usd,D_W0_R0,D_W1_R1,10,45.0,0.0419921875,True,0.5433181798422833,0.00028150000000000007
estimated_cost_usd,D_W0_R0,D_W1_R2,10,0.0,1.0,False,-3.862094770388663,-0.002001
estimated_cost_usd,D_W0_R0,D_W1_R3,10,11.0,0.9580078125,False,-0.7334312907284819,-0.00038000000000000013
estimated_cost_usd,D_W0_R0,D_W1_R4,10,20.0,0.7841796875,False,-0.19397327557424296,-0.0001004999999999999
estimated_cost_usd,D_W0_R0,D_W2_R0,10,28.0,0.5,False,-0.06272767618072536,-3.249999999999998e-05
estimated_cost_usd,D_W0_R0,D_W2_R1,10,45.0,0.0419921875,True,0.7411516201045714,0.0003840000000000002
estimated_cost_usd,D_W0_R0,D_W2_R2,10,0.0,1.0,False,-4.361021056318433,-0.0022595000000000002
estimated_cost_usd,D_W0_R0,D_W2_R3,10,23.0,0.6875,False,-0.3869815099764755,-0.00020050000000000016
estimated_cost_usd,D_W0_R0,D_W2_R4,10,19.0,0.8125,False,-0.04439189391251256,-2.2999999999999583e-05
estimated_cost_usd,D_W0_R0,D_W3_R0,10,37.0,0.1875,False,0.43233844506100017,0.00022400000000000024
estimated_cost_usd,D_W0_R0,D_W3_R1,10,50.0,0.009765625,True,0.9158240722385911,0.0004745000000000001
estimated_cost_usd,D_W0_R0,D_W3_R2,10,0.0,1.0,False,-3.9672842581378793,-0.0020555
estimated_cost_usd,D_W0_R0,D_W3_R3,10,18.0,0.71484375,False,-0.20072856377832116,-0.00010399999999999993
estimated_cost_usd,D_W0_R0,D_W3_R4,10,11.0,0.9580078125,False,-0.5693742914865847,-0.0002950000000000001
estimated_cost_usd,D_W0_R0,D_W4_R0,10,28.0,0.5,False,-0.010615452892122497,-5.499999999999863e-06
estimated_cost_usd,D_W0_R0,D_W4_R1,10,49.0,0.013671875,True,0.6919345203320024,0.0003585000000000003
estimated_cost_usd,D_W0_R0,D_W4_R2,10,0.0,1.0,False,-4.533763426108429,-0.0023489999999999995
estimated_cost_usd,D_W0_R0,D_W4_R3,10,16.0,0.8837890625,False,-0.6070108971950191,-0.0003144999999999997
estimated_cost_usd,D_W0_R0,D_W4_R4,10,25.0,0.615234375,False,0.03281139984838045,1.700000000000052e-05
