condition,write_algorithm,n,write_latency_ms_mean,write_latency_ms_p50,write_latency_ms_p95,write_latency_ms_p99,write_latency_ms_std,flush_latency_ms_mean,flush_latency_ms_p50,flush_latency_ms_p95,flush_latency_ms_p99,flush_latency_ms_std,total_bytes_written_mean,total_bytes_written_p50,total_bytes_written_p95,total_bytes_written_p99,total_bytes_written_std,handoff_latency_ms_mean,handoff_latency_ms_p50,handoff_latency_ms_p95,handoff_latency_ms_p99,handoff_latency_ms_std,context_payload_bytes_mean,context_payload_bytes_p50,context_payload_bytes_p95,context_payload_bytes_p99,context_payload_bytes_std,context_token_count_mean,context_token_count_p50,context_token_count_p95,context_token_count_p99,context_token_count_std,compression_ratio_mean,compression_ratio_p50,compression_ratio_p95,compression_ratio_p99,compression_ratio_std,input_token_delta_mean,input_token_delta_p50,input_token_delta_p95,input_token_delta_p99,input_token_delta_std,estimated_cost_usd_mean,estimated_cost_usd_p50,estimated_cost_usd_p95,estimated_cost_usd_p99,estimated_cost_usd_std,input_tokens_used_mean,input_tokens_used_p50,input_tokens_used_p95,input_tokens_used_p99,input_tokens_used_std,output_tokens_used_mean,output_tokens_used_p50,output_tokens_used_p95,output_tokens_used_p99,output_tokens_used_std,simulator_input_tokens_mean,simulator_input_tokens_p50,simulator_input_tokens_p95,simulator_input_tokens_p99,simulator_input_tokens_std,simulator_output_tokens_mean,simulator_output_tokens_p50,simulator_output_tokens_p95,simulator_output_tokens_p99,simulator_output_tokens_std,handoff_input_tokens_mean,handoff_input_tokens_p50,handoff_input_tokens_p95,handoff_input_tokens_p99,handoff_input_tokens_std,handoff_output_tokens_mean,handoff_output_tokens_p50,handoff_output_tokens_p95,handoff_output_tokens_p99,handoff_output_tokens_std,execution_latency_ms_mean,execution_latency_ms_p50,execution_latency_ms_p95,execution_latency_ms_p99,execution_latency_ms_std,simulated_wan_latency_ms_mean,simulated_wan_latency_ms_p50,simulated_wan_latency_ms_p95,simulated_wan_latency_ms_p99,simulated_wan_latency_ms_std,retrieval_accuracy_score_mean,retrieval_accuracy_score_p50,retrieval_accuracy_score_p95,retrieval_accuracy_score_p99,retrieval_accuracy_score_std,state_integrity_score_mean,state_integrity_score_p50,state_integrity_score_p95,state_integrity_score_p99,state_integrity_score_std
C0_Baseline,W0,3,0.0025080833386444588,0.0026506250065949644,0.0027568250025922225,0.0027662650022364232,0.00028906530843317464,0.0025080833386444588,0.0026506250065949644,0.0027568250025922225,0.0027662650022364232,0.00028906530843317464,3606.3333333333335,3541.0,3952.3,3988.86,296.7404402653755,3831.2340049999984,3806.375381000066,4356.358797499979,4405.246212299971,468.83924278678955,4082.3333333333335,4026.0,4414.8,4449.36,286.5150761982498,894.0,886.0,909.4,911.48,12.754084313139327,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023573333333333332,0.002507,0.0025285999999999998,0.0025305199999999996,0.0002288410413851114,3619.0,3607.0,3647.5,3651.1,23.62202362203543,1118.3333333333333,1146.0,1161.3,1162.66,51.61610429141493,2725.0,2721.0,2738.1,2739.62,10.98483803552272,825.6666666666666,817.0,841.3,843.46,12.970050972229146,894.0,886.0,909.4,911.48,12.754084313139327,292.6666666666667,319.0,328.0,328.8,44.4996878890428,15380.719,14862.304,16730.036200000002,16896.05684,1121.1373615006632,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.8999999999999999,0.98,0.4714045207910317
C1_W1_Selective,W1,3,0.22290900000143665,0.2290132500064601,0.23779871250155793,0.23857964250112218,0.016038227773497612,0.005353666665541823,0.004366500036212528,0.00733852499195109,0.00760270498801674,0.0016429111845370954,4042.6666666666665,3474.0,5060.7,5201.74,844.8417340280696,4299.1741176666665,4423.78432299995,4526.004605800063,4535.090853160073,260.69402358383354,4555.333333333333,3964.0,5608.3,5754.46,874.0161452869291,1065.0,944.0,1305.8,1337.96,199.33389074615485,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00257,0.002509,0.0027358,0.00275596,0.0001379637633583544,3881.0,3727.0,4213.9,4257.18,275.54430980636613,1297.0,1188.0,1522.8,1552.56,186.87428929630744,2816.0,2783.0,2908.1,2919.22,76.71158104658427,996.0,875.0,1236.8,1268.96,199.33389074615485,1065.0,944.0,1305.8,1337.96,199.33389074615485,301.0,307.0,312.4,312.88,12.96148139681572,18000.039666666667,16481.013,21048.980099999997,21455.02162,2523.710632775257,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5833333333333334,0.75,0.975,0.995,0.42491829279939874
C1_W2_WAL,W2,3,0.33745712500869257,0.30265737501622425,0.42879642501816306,0.4400087850183354,0.07591366582412616,0.4532663333520759,0.4546740000250793,0.5224008000141112,0.5284209600131362,0.06317487515319034,3371.3333333333335,3372.0,3378.3,3378.86,6.548960901462833,4501.440164999963,3960.5794349999996,5672.5808207999535,5824.758721759949,969.3749982574035,3842.0,3841.0,3854.5,3855.7,11.045361017187261,942.3333333333334,943.0,964.6,966.52,20.417857108151406,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002454,0.002467,0.0025084,0.00251208,5.4264782932088364e-05,3714.6666666666665,3713.0,3759.8,3763.96,40.43375927228247,1177.0,1182.0,1190.1,1190.82,13.92838827718412,2772.3333333333335,2770.0,2795.2,2797.44,20.07209228976613,874.6666666666666,877.0,896.8,898.56,20.885933597094056,942.3333333333334,943.0,964.6,966.52,20.417857108151406,302.3333333333333,310.0,313.6,313.92,13.767917618708921,16708.388,16667.439,18076.7535,18202.0259,1228.7452134306234,0.0,0.0,0.0,0.0,0.0,0.9833333333333334,1.0,1.0,1.0,0.023570226039551608,0.4166666666666667,0.25,0.9249999999999999,0.985,0.42491829279939874
C1_W3_CRDT,W3,3,0.2700252916743769,0.26276037500849725,0.3227973500031567,0.32813397000268196,0.04585762181456624,0.07173166666992377,0.07506099996135163,0.08800120001524192,0.08915144002003217,0.01599140871444405,6182.0,6033.0,6528.9,6572.98,287.410275854338,3536.1872536666397,3551.1821779999764,3648.829361000037,3657.5091106000423,107.47657461128792,4269.0,4120.0,4614.1,4658.02,285.89158784406374,1070.3333333333333,997.0,1283.2,1308.64,177.5712689473034,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026070000000000004,0.002667,0.0029262000000000003,0.00294924,0.00031153811965793215,3811.0,3827.0,4059.2,4079.84,230.52982453470094,1312.3333333333333,1263.0,1544.7,1569.74,198.23611062456698,2740.6666666666665,2770.0,2824.0,2828.8,87.41217814978006,1005.0,929.0,1216.1,1241.62,175.79723168089612,1070.3333333333333,997.0,1283.2,1308.64,177.5712689473034,307.3333333333333,328.0,333.4,333.88,33.559234529741914,16361.098,16784.96,16938.992299999998,16952.68406,723.8307398294156,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
C1_W4_Adaptive,W4,3,0.2523855416806479,0.26456600001267816,0.2793809000010583,0.28069778000002543,0.02963739517848792,0.013067000016538563,0.012336999930084858,0.015694900025664538,0.01599338003416051,0.002213318921269661,3324.0,3263.0,3603.2,3633.44,237.86971223760287,3506.7817150000265,3553.9295070000207,3794.4812181000316,3815.8635924200325,277.98334459906937,3796.6666666666665,3742.0,4065.1,4093.82,229.44909868833412,899.0,944.0,972.8,975.36,87.25059694160646,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002374,0.002434,0.0025753,0.00258786,0.00020608897754772497,3595.3333333333335,3713.0,3774.2,3779.64,216.27811313728031,1128.3333333333333,1175.0,1224.5,1228.9,107.26395273136058,2696.3333333333335,2769.0,2801.4,2804.28,129.06157014730948,833.3333333333334,877.0,904.0,906.4,83.86629570665175,899.0,944.0,972.8,975.36,87.25059694160646,295.0,298.0,320.5,322.5,24.179881444429512,15689.891666666668,15513.093,16080.1218,16130.52436,323.05538633216145,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.95,0.995,0.999,0.023570226039551608,0.5833333333333334,0.75,0.975,0.995,0.42491829279939874
