condition,read_algorithm,n,write_latency_ms_mean,write_latency_ms_p50,write_latency_ms_p95,write_latency_ms_p99,write_latency_ms_std,flush_latency_ms_mean,flush_latency_ms_p50,flush_latency_ms_p95,flush_latency_ms_p99,flush_latency_ms_std,total_bytes_written_mean,total_bytes_written_p50,total_bytes_written_p95,total_bytes_written_p99,total_bytes_written_std,handoff_latency_ms_mean,handoff_latency_ms_p50,handoff_latency_ms_p95,handoff_latency_ms_p99,handoff_latency_ms_std,context_payload_bytes_mean,context_payload_bytes_p50,context_payload_bytes_p95,context_payload_bytes_p99,context_payload_bytes_std,context_token_count_mean,context_token_count_p50,context_token_count_p95,context_token_count_p99,context_token_count_std,compression_ratio_mean,compression_ratio_p50,compression_ratio_p95,compression_ratio_p99,compression_ratio_std,input_token_delta_mean,input_token_delta_p50,input_token_delta_p95,input_token_delta_p99,input_token_delta_std,estimated_cost_usd_mean,estimated_cost_usd_p50,estimated_cost_usd_p95,estimated_cost_usd_p99,estimated_cost_usd_std,input_tokens_used_mean,input_tokens_used_p50,input_tokens_used_p95,input_tokens_used_p99,input_tokens_used_std,output_tokens_used_mean,output_tokens_used_p50,output_tokens_used_p95,output_tokens_used_p99,output_tokens_used_std,simulator_input_tokens_mean,simulator_input_tokens_p50,simulator_input_tokens_p95,simulator_input_tokens_p99,simulator_input_tokens_std,simulator_output_tokens_mean,simulator_output_tokens_p50,simulator_output_tokens_p95,simulator_output_tokens_p99,simulator_output_tokens_std,handoff_input_tokens_mean,handoff_input_tokens_p50,handoff_input_tokens_p95,handoff_input_tokens_p99,handoff_input_tokens_std,handoff_output_tokens_mean,handoff_output_tokens_p50,handoff_output_tokens_p95,handoff_output_tokens_p99,handoff_output_tokens_std,execution_latency_ms_mean,execution_latency_ms_p50,execution_latency_ms_p95,execution_latency_ms_p99,execution_latency_ms_std,simulated_wan_latency_ms_mean,simulated_wan_latency_ms_p50,simulated_wan_latency_ms_p95,simulated_wan_latency_ms_p99,simulated_wan_latency_ms_std,retrieval_accuracy_score_mean,retrieval_accuracy_score_p50,retrieval_accuracy_score_p95,retrieval_accuracy_score_p99,retrieval_accuracy_score_std,state_integrity_score_mean,state_integrity_score_p50,state_integrity_score_p95,state_integrity_score_p99,state_integrity_score_std
C0_Baseline,R0,3,0.00217158331849987,0.002068499966867421,0.002532224986850906,0.002573444988627216,0.0003033370181607925,0.00217158331849987,0.002068499966867421,0.002532224986850906,0.002573444988627216,0.0003033370181607925,3950.0,3865.0,4265.5,4301.1,266.1140106545814,3492.074857666694,3333.413620999977,3822.4226990000147,3865.890172600018,273.397902044362,4457.666666666667,4346.0,4836.5,4880.1,318.1805916282275,1011.0,1007.0,1115.9,1125.58,93.93969696920821,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002491,0.002437,0.0027664,0.00279568,0.00023581348561946145,3817.0,3767.0,4027.1,4050.22,178.2713287847114,1240.3333333333333,1231.0,1377.7,1390.74,121.83686725380878,2806.0,2760.0,2911.2,2924.64,87.13208364316786,944.3333333333334,945.0,1047.6,1056.72,93.89829012761035,1011.0,1007.0,1115.9,1125.58,93.93969696920821,296.0,286.0,330.1,334.02,28.647280266487194,17673.248000000003,19104.445,19819.810899999997,19883.398979999998,2606.34197942493,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5833333333333334,0.75,0.975,0.995,0.42491829279939874
C2_R1_Hydration,R1,3,0.0020099583366572915,0.0021556250118237585,0.00225642498179468,0.002265384979125429,0.00028884173470766826,0.0020099583366572915,0.0021556250118237585,0.00225642498179468,0.002265384979125429,0.00028884173470766826,3743.3333333333335,3873.0,4049.4,4065.08,331.7633025047962,3835.865997000042,4019.5675400000255,4258.239162800055,4279.454418160058,460.2265324483147,2041.3333333333333,2165.0,2384.6,2404.12,361.42342050410747,518.6666666666666,552.0,606.9,611.78,93.64590517238624,2.1129171147610566,2.012471131639723,2.3763438873575207,2.408688132310214,0.21893270936859613,536.6666666666666,537.0,538.8,538.96,2.0548046676563256,0.002087,0.002163,0.0023511,0.00236782,0.00026914803857109313,3371.6666666666665,3460.0,3532.9,3539.38,185.1743922780781,1272.6666666666667,1356.0,1360.5,1360.9,121.40382567649543,2853.0,2908.0,2926.0,2927.6,92.28578799938084,959.0,992.0,1045.1,1049.82,91.61149855049128,518.6666666666666,552.0,606.9,611.78,93.64590517238624,313.6666666666667,310.0,358.6,362.92,39.684869772860395,16870.612666666668,17821.234,17969.8861,17983.099619999997,1462.7287471804957,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.54,0.548,0.08164965809277264,0.5,0.25,0.9249999999999999,0.985,0.3535533905932738
C2_R2_Summary,R2,3,0.002061666667903713,0.002037250027342452,0.0021397374922571544,0.0021488474891384612,6.539465716797289e-05,0.002061666667903713,0.002037250027342452,0.0021397374922571544,0.0021488474891384612,6.539465716797289e-05,3461.3333333333335,3425.0,3545.6,3556.32,69.81085557100383,4909.933552666644,4616.812359999926,5661.613245700005,5754.484435540012,624.2761811996014,1258.3333333333333,1212.0,1374.9,1389.38,96.75513193394733,296.6666666666667,298.0,298.0,298.0,1.8856180831641267,3.408665814598697,3.5264598540145986,3.5955165294915163,3.60165490064502,0.22305250090696999,644.0,622.0,716.5,724.9,60.81118318204309,0.0047666666666666664,0.0046289999999999994,0.0050609999999999995,0.0050994,0.00024360669576639762,3042.0,3044.0,3137.6,3145.92,87.37657962329875,1312.6666666666667,1350.0,1361.7,1362.74,62.21646798789601,2745.3333333333335,2746.0,2839.6,2847.92,85.73343701393419,872.6666666666666,851.0,944.6,952.92,60.35634920113118,296.6666666666667,298.0,298.0,298.0,1.8856180831641267,440.0,413.0,502.09999999999997,510.02,51.43928459844674,19873.449333333334,19946.951,20560.453999999998,20614.9876,648.6874528658268,0.0,0.0,0.0,0.0,0.0,0.6499999999999999,0.85,0.94,0.948,0.3559026084010437,0.6666666666666666,1.0,1.0,1.0,0.4714045207910317
C2_R4_MemGPT,R4,3,0.0018750000094769348,0.0018863750312902994,0.0020038250170273386,0.00201426501575952,0.00012075247334011413,0.0018750000094769348,0.0018863750312902994,0.0020038250170273386,0.00201426501575952,0.00012075247334011413,3348.6666666666665,3418.0,3563.8,3576.76,222.6526941723864,5330.365717333431,4508.301840000058,7023.406632900105,7246.971503380109,1401.1935181664992,2717.6666666666665,2643.0,3032.7,3067.34,267.3603477622581,698.0,717.0,728.7,729.74,36.45088019056147,1.3872368214277448,1.4276910435497123,1.441520523197196,1.4427498102769722,0.06836479800706137,230.33333333333334,246.0,255.9,256.78,30.26916289265731,0.0024196666666666668,0.002375,0.0025478,0.0025631599999999997,0.00010683736341852603,3385.6666666666665,3388.0,3431.2,3435.04,42.081930669693485,1178.0,1181.0,1197.2,1198.64,18.49324200890693,2687.6666666666665,2686.0,2715.7,2718.34,24.931015935086872,833.6666666666666,825.0,873.6,877.92,34.03266404826725,698.0,717.0,728.7,729.74,36.45088019056147,344.3333333333333,329.0,378.5,382.9,28.288199345702832,20846.335666666666,20447.811,23236.7508,23484.656560000003,2061.4384142601884,0.0,0.0,0.0,0.0,0.0,0.8733333333333334,0.85,0.913,0.9186000000000001,0.03299831645537225,1.0,1.0,1.0,1.0,0.0
