step_sequence_number,iteration,condition,write_algorithm,read_algorithm,session_id,write_latency_ms,flush_latency_ms,total_bytes_written,handoff_latency_ms,context_payload_bytes,context_token_count,compression_ratio,input_token_delta,estimated_cost_usd,input_tokens_used,output_tokens_used,simulator_input_tokens,simulator_output_tokens,handoff_input_tokens,handoff_output_tokens,execution_latency_ms,simulated_wan_latency_ms,wan_simulation_active,retrieval_accuracy_score,state_integrity_score,extra
0,0,C0_Baseline,W0,R0,eb65ef8b-df0e-4c7d-8b84-05cca84f716c,0.002812506863847375,0.002812506863847375,3586,3627.9691999952774,4105,897,1.0,0,0.002307,3499,1117,2602,835,897,282,17324.89,0.0,False,1.0,0.75,{}
1,1,C0_Baseline,W0,R0,3f88859d-0ebc-478e-8c3e-045476a04f3c,0.003762495907722041,0.003762495907722041,4102,4408.479400008218,4597,1013,1.0,0,0.002613,3856,1266,2843,946,1013,320,21866.239,0.0,False,1.0,0.75,{}
2,2,C0_Baseline,W0,R0,4967dfda-b3ee-4ad2-b8e3-9d5fd3d17c59,0.0018624996300786734,0.0018624996300786734,3497,3176.961000019219,3947,829,1.0,0,0.002024,3216,1005,2387,766,829,239,15438.499,0.0,False,1.0,1.0,{}
3,3,C0_Baseline,W0,R0,2fd1cbb2-b4ab-47f0-9b55-92e777e5a244,0.0021624982764478773,0.0021624982764478773,4434,4086.1173999728635,4992,1274,1.0,0,0.003004,4208,1547,2934,1201,1274,346,23397.599,0.0,False,1.0,1.0,{}
4,4,C0_Baseline,W0,R0,fc24a8fa-e82a-420a-88b8-343fb68d9138,0.0029750008252449334,0.0029750008252449334,3181,3062.6058999914676,3735,994,1.0,0,0.002414,3812,1213,2818,929,994,284,12083.292,0.0,False,1.0,1.0,{}
5,5,C0_Baseline,W0,R0,00526108-988a-4891-bc48-372a8793f4ca,0.0029125003493390977,0.0029125003493390977,3363,3407.438299997011,3840,910,1.0,0,0.002195,3648,1100,2738,843,910,257,16618.713,0.0,False,1.0,0.0,{}
6,6,C0_Baseline,W0,R0,88e928cd-0527-41e7-87bf-f6397e66acdd,0.004112502210773528,0.004112502210773528,4219,3706.3151999900583,4712,1219,1.0,0,0.002804,4164,1461,2945,1144,1219,317,19549.144,0.0,False,1.0,1.0,{}
7,7,C0_Baseline,W0,R0,649ded1c-5ac0-48cb-b9e0-8edc7308a4bd,0.004537498170975596,0.004537498170975596,3461,4035.151299991412,3966,982,1.0,0,0.002567,3788,1233,2806,916,982,317,14344.379,0.0,False,1.0,0.25,{}
8,8,C0_Baseline,W0,R0,39a4bb3a-6587-4d5b-a1e6-14a6668e4fa9,0.0032874959288164973,0.0032874959288164973,3387,5970.313999976497,3853,928,1.0,0,0.002303,3676,1137,2748,862,928,275,21144.257,0.0,False,1.0,0.75,{}
9,9,C0_Baseline,W0,R0,6396f33c-0b12-43d1-a9d5-255371e075f0,0.0041249950299970806,0.0041249950299970806,3685,4064.7568999847863,4192,972,1.0,0,0.002707,3781,1253,2809,906,972,347,17058.153,0.0,False,1.0,1.0,{}
10,10,C0_Baseline,W0,R0,485e2902-3f8b-4eeb-96a0-6fdde72a0c07,0.0033125033951364458,0.0033125033951364458,2878,3685.7578000053763,3382,906,1.0,0,0.002371,3638,1134,2732,841,906,293,12628.227,0.0,False,1.0,1.0,{}
11,11,C0_Baseline,W0,R0,2b340760-4b48-4a04-8969-912ad167fcd6,0.005649995728163049,0.005649995728163049,3599,4035.3391999960877,4063,895,1.0,0,0.00241,3626,1128,2731,825,895,303,15908.646,0.0,False,1.0,0.25,{}
12,12,C0_Baseline,W0,R0,a375a513-a9cb-484b-a683-4308586332b0,0.003112505510216579,0.003112505510216579,3768,3481.3020000001416,4234,866,1.0,0,0.002351,3516,1098,2650,801,866,297,15382.753,0.0,False,0.95,0.0,{}
13,13,C0_Baseline,W0,R0,0a8a5c61-aeb9-4ca0-8df3-58d5afb9edbb,0.0030874980438966304,0.0030874980438966304,3511,4103.400899999542,3981,894,1.0,0,0.002389,3623,1124,2729,825,894,299,17394.246,0.0,False,1.0,0.25,{}
14,14,C0_Baseline,W0,R0,95fac5ce-67df-4628-b863-2058de074287,0.0033750002330634743,0.0033750002330634743,3901,3504.2895000078715,4375,936,1.0,0,0.002201,3702,1120,2766,867,936,253,17053.387,0.0,False,1.0,0.0,{}
15,15,C0_Baseline,W0,R0,5400f0bd-cb5e-4212-91ec-f1926db8395f,0.006687496352242306,0.006687496352242306,3406,4374.684200010961,3891,937,1.0,0,0.002562,3712,1193,2775,868,937,325,17059.929,0.0,False,1.0,1.0,{}
16,16,C0_Baseline,W0,R0,33f4479f-ed7d-4153-ac26-c00f0bc9781a,0.004125002305954695,0.004125002305954695,3022,4538.142300007166,3478,865,1.0,0,0.002235,3431,1078,2566,804,865,274,14832.899,0.0,False,1.0,1.0,{}
17,17,C0_Baseline,W0,R0,f07ec679-a975-4d00-9838-a3575e846eb7,0.004049998096888885,0.004049998096888885,3893,3923.3739000046626,4352,961,1.0,0,0.002681,3758,1236,2797,892,961,344,17233.75,0.0,False,1.0,1.0,{}
18,18,C0_Baseline,W0,R0,df74999b-a582-4103-a2e6-4771de3924c1,0.0037749996408820152,0.0037749996408820152,3699,3198.8267000124324,4212,909,1.0,0,0.002139,3651,1086,2742,840,909,246,15796.323,0.0,False,1.0,0.25,{}
19,19,C0_Baseline,W0,R0,d3784cb2-d0dd-4079-aa08-a47c03a21083,0.002049997419817373,0.002049997419817373,3579,3367.1991000010166,4106,1017,1.0,0,0.002397,3858,1226,2841,950,1017,276,14845.243,0.0,False,1.0,0.25,{}
20,20,C0_Baseline,W0,R0,6c26cd5e-690f-4972-946a-2c24e7274401,0.0026750021788757294,0.0026750021788757294,3172,4544.393299991498,3664,1021,1.0,0,0.002341,3840,1218,2819,954,1021,264,14964.855,0.0,False,0.95,0.25,{}
21,21,C0_Baseline,W0,R0,02f8485f-e6f9-4a54-98bc-432b3f963245,0.004125002305954695,0.004125002305954695,4570,4216.86950000003,5146,1339,1.0,0,0.003899,4203,1778,2864,1266,1339,512,18405.728,0.0,False,0.95,1.0,{}
22,22,C0_Baseline,W0,R0,a72ac4ad-8deb-4ff0-8652-031ddd8440be,0.0030124974728096277,0.0030124974728096277,4299,3273.214700020617,4831,1230,1.0,0,0.002535,3923,1421,2693,1160,1230,261,14741.897,0.0,False,1.0,1.0,{}
23,23,C0_Baseline,W0,R0,5796c041-bbb4-43b6-98dc-84dec4647ae1,0.002725002559600398,0.002725002559600398,3441,3233.8692999910563,3938,1033,1.0,0,0.002558,3900,1270,2867,965,1033,305,17231.373,0.0,False,1.0,1.0,{}
24,24,C0_Baseline,W0,R0,96ec5665-29e7-4b48-9ee5-2ddf3af14db1,0.007850005204090849,0.007850005204090849,3379,4165.895599988289,3883,964,1.0,0,0.002454,3761,1193,2797,895,964,298,15326.019,0.0,False,1.0,1.0,{}
25,25,C0_Baseline,W0,R0,e317ae33-5dfa-4c23-a74c-1d9e53fea36a,0.005087505996925756,0.005087505996925756,3507,4287.874200002989,4003,961,1.0,0,0.002621,3754,1225,2793,893,961,332,17678.638,0.0,False,1.0,0.75,{}
