condition,write_algorithm,n,write_latency_ms_mean,write_latency_ms_p50,write_latency_ms_p95,write_latency_ms_p99,write_latency_ms_std,flush_latency_ms_mean,flush_latency_ms_p50,flush_latency_ms_p95,flush_latency_ms_p99,flush_latency_ms_std,total_bytes_written_mean,total_bytes_written_p50,total_bytes_written_p95,total_bytes_written_p99,total_bytes_written_std,handoff_latency_ms_mean,handoff_latency_ms_p50,handoff_latency_ms_p95,handoff_latency_ms_p99,handoff_latency_ms_std,context_payload_bytes_mean,context_payload_bytes_p50,context_payload_bytes_p95,context_payload_bytes_p99,context_payload_bytes_std,context_token_count_mean,context_token_count_p50,context_token_count_p95,context_token_count_p99,context_token_count_std,compression_ratio_mean,compression_ratio_p50,compression_ratio_p95,compression_ratio_p99,compression_ratio_std,input_token_delta_mean,input_token_delta_p50,input_token_delta_p95,input_token_delta_p99,input_token_delta_std,estimated_cost_usd_mean,estimated_cost_usd_p50,estimated_cost_usd_p95,estimated_cost_usd_p99,estimated_cost_usd_std,input_tokens_used_mean,input_tokens_used_p50,input_tokens_used_p95,input_tokens_used_p99,input_tokens_used_std,output_tokens_used_mean,output_tokens_used_p50,output_tokens_used_p95,output_tokens_used_p99,output_tokens_used_std,simulator_input_tokens_mean,simulator_input_tokens_p50,simulator_input_tokens_p95,simulator_input_tokens_p99,simulator_input_tokens_std,simulator_output_tokens_mean,simulator_output_tokens_p50,simulator_output_tokens_p95,simulator_output_tokens_p99,simulator_output_tokens_std,handoff_input_tokens_mean,handoff_input_tokens_p50,handoff_input_tokens_p95,handoff_input_tokens_p99,handoff_input_tokens_std,handoff_output_tokens_mean,handoff_output_tokens_p50,handoff_output_tokens_p95,handoff_output_tokens_p99,handoff_output_tokens_std,execution_latency_ms_mean,execution_latency_ms_p50,execution_latency_ms_p95,execution_latency_ms_p99,execution_latency_ms_std,simulated_wan_latency_ms_mean,simulated_wan_latency_ms_p50,simulated_wan_latency_ms_p95,simulated_wan_latency_ms_p99,simulated_wan_latency_ms_std,retrieval_accuracy_score_mean,retrieval_accuracy_score_p50,retrieval_accuracy_score_p95,retrieval_accuracy_score_p99,retrieval_accuracy_score_std,state_integrity_score_mean,state_integrity_score_p50,state_integrity_score_p95,state_integrity_score_p99,state_integrity_score_std
C0_Baseline,W0,100,0.0036512497536023147,0.003287497747805901,0.006818125621066428,0.00941649879678154,0.0017210077957959728,0.0036512497536023147,0.003287497747805901,0.006818125621066428,0.00941649879678154,0.0017210077957959728,3603.33,3511.5,4489.25,4652.6100000000015,439.5665604888525,3839.8985259979963,3621.893999996246,4538.194815006864,6073.32284697686,1361.5109954456534,4101.05,4003.5,5067.9,5208.580000000002,457.09199019453405,968.4,936.0,1277.2499999999998,1355.02,136.64567318433467,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024505,0.002399,0.00301005,0.00391502,0.00039145772440967363,3706.74,3704.0,4203.25,4288.08,258.0431212026393,1197.74,1173.5,1551.3499999999997,1792.0,177.36936714100324,2738.34,2763.5,2933.05,2942.03,136.17629896571577,901.32,866.5,1204.2499999999998,1280.0,133.78489301860654,968.4,936.0,1277.2499999999998,1355.02,136.64567318433467,296.42,292.0,350.2,512.0,57.221880430478684,16368.946069999998,15852.147,21180.3561,23619.04381000003,2610.2910568846887,0.0,0.0,0.0,0.0,0.0,0.976,1.0,1.0,1.0,0.11191067866830223,0.63,1.0,1.0,1.0,0.4175523919222593
C1_W1_Selective,W1,100,1.0826433750116848,1.0842374977073632,1.2981625000975328,1.381647004091066,0.1514739425790571,0.009775750484550372,0.0075875024776905775,0.020888755534542718,0.024498254351783554,0.004750885526535823,3654.78,3606.5,4659.15,4937.010000000002,515.8154433515925,3864.1876309990766,3792.9426500049885,4858.4276400040835,5915.120636987561,603.2656816237267,4154.04,4109.5,5213.7,5471.430000000002,538.5876515480094,981.35,948.0,1350.05,1356.01,157.12831539859388,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024943999999999995,0.0024584999999999997,0.0030508999999999975,0.00391402,0.0004178467661715237,3736.46,3723.5,4278.05,4294.05,284.1979035812896,1216.14,1184.0,1616.9499999999996,1792.0,199.53751627200333,2755.11,2777.0,2934.2,2943.03,141.41852035713003,913.53,880.5,1279.0,1280.0,154.76061869868576,981.35,948.0,1350.05,1356.01,157.12831539859388,302.61,300.0,385.5999999999996,512.0,59.02302855665745,16463.73302,16225.074,21022.45895,22906.808230000002,2300.6373718749073,0.0,0.0,0.0,0.0,0.0,0.966,1.0,1.0,1.0,0.12183595528414426,0.6225,0.75,1.0,1.0,0.41306022563301836
C1_W2_WAL,W2,100,1.7360242498034495,1.7114187503466383,2.191786868752388,2.4663856281767975,0.2924320963305071,1.074150000931695,0.9886500192806125,1.608319986553397,1.892632999806669,0.29558849071774235,3660.52,3568.0,4493.0,5407.15,430.50064994143736,3822.7463690019795,3704.7211000171956,4862.485080007173,6925.839623023061,712.4948744102485,4155.59,4056.0,5087.349999999999,5980.46,452.96587277630533,961.91,929.0,1314.55,1355.0,124.24444414137801,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00239616,0.002359,0.0028843000000000002,0.0032175900000000015,0.00027835972122417424,3706.25,3682.0,4145.9,4291.02,216.65661194618548,1181.27,1149.0,1548.1999999999998,1652.21,146.38632825506622,2744.34,2757.0,2924.3,2938.03,107.21177360719298,894.42,863.5,1241.85,1280.0,122.35556219477722,961.91,929.0,1314.55,1355.0,124.24444414137801,286.85,285.5,334.45,409.23000000000013,38.25660073765049,16542.9125,15887.4515,20740.413350000003,22117.586620000005,2091.6914549426047,0.0,0.0,0.0,0.0,0.0,0.9660000000000001,1.0,1.0,1.0,0.13016912076218384,0.5475,0.5,1.0,1.0,0.42085478493180983
C1_W3_CRDT,W3,100,5.866100625535182,6.508275000669528,13.988200625499303,14.756933872304222,4.985112285174652,0.12144400068791583,0.11725001968443394,0.2042350111878477,0.2731669830973261,0.048705934734824236,6051.29,5963.5,7026.35,7486.710000000001,455.76904886137237,3857.9758640003274,3747.8630500118015,4619.958309999492,7844.361592975916,853.5760836599719,4138.12,4050.5,5110.6,5572.670000000001,454.81884921361825,965.93,931.0,1351.0,1353.01,132.88606059327668,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024224299999999997,0.0024089999999999997,0.0029140499999999996,0.00391101,0.0003383224277224317,3718.52,3691.0,4273.15,4291.0,238.0773605364441,1189.97,1158.5,1586.15,1788.04,164.6149115359845,2752.59,2754.5,2930.15,2939.0,118.0061943289419,898.67,863.5,1279.0,1280.0,130.73263211608645,965.93,931.0,1351.0,1353.01,132.88606059327668,291.3,295.0,333.45,512.0,48.008436758553174,16825.34038,16411.0595,20945.9466,22516.374110000008,2387.4306745536874,0.0,0.0,0.0,0.0,0.0,0.9810000000000001,1.0,1.0,1.0,0.07133722730804723,0.6,0.75,1.0,1.0,0.4272001872658766
C1_W4_Adaptive,W4,100,1.009336374772829,1.0083874985866714,1.2822700018659816,1.4546227464961705,0.1674558388411932,0.022487000678665936,0.018050006474368274,0.04918499616906046,0.058200006606057286,0.010345664584939318,3600.99,3518.5,4551.099999999999,4965.830000000003,459.751813373259,3855.0812350024353,3752.7593499980867,4751.110539995716,7076.9204049781565,671.2381476050566,4094.11,4016.5,5093.299999999999,5601.010000000002,471.14672650884455,950.72,923.0,1275.9999999999998,1355.01,121.92121062391071,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024022700000000006,0.002372,0.00294035,0.003054890000000003,0.0002598114645276455,3690.55,3672.5,4208.45,4288.04,225.81440941622836,1173.74,1148.5,1535.4499999999998,1611.08,138.19990014468175,2739.83,2752.0,2930.15,2935.01,115.01400392995627,883.43,856.0,1202.8999999999999,1280.0,119.91273952337174,950.72,923.0,1275.9999999999998,1355.01,121.92121062391071,290.31,288.0,339.0,359.54000000000076,37.90427284621089,16222.768800000002,15812.9595,20498.884000000002,21576.04779000001,2071.061094639996,0.0,0.0,0.0,0.0,0.0,0.9615,1.0,1.0,1.0,0.10951141493013412,0.5625,0.625,1.0,1.0,0.43355362990061563
