metric,baseline,comparison,n,statistic,p_value,significant_p05,effect_size,median_reduction
execution_latency_ms,D_W0_R0,D_W0_R1,3,1.0,0.875,False,-0.9922044746895877,-1800.286
execution_latency_ms,D_W0_R0,D_W0_R2,3,0.0,1.0,False,-3.300730561629822,-5988.945999999998
execution_latency_ms,D_W0_R0,D_W0_R4,3,0.0,1.0,False,-2.810721696489316,-5099.858999999999
execution_latency_ms,D_W0_R0,D_W1_R0,3,3.0,0.625,False,-0.029215779716830245,-53.0099999999984
execution_latency_ms,D_W0_R0,D_W1_R1,3,2.0,0.75,False,-0.44259508824446225,-803.0579999999991
execution_latency_ms,D_W0_R0,D_W1_R2,3,0.0,1.0,False,-2.974094176208252,-5396.286999999998
execution_latency_ms,D_W0_R0,D_W1_R4,3,0.0,1.0,False,-5.472860127236708,-9930.123999999998
execution_latency_ms,D_W0_R0,D_W2_R0,3,2.0,0.75,False,-0.26771321166028206,-485.7469999999994
execution_latency_ms,D_W0_R0,D_W2_R1,3,1.0,0.875,False,-0.8233057428819753,-1493.8309999999983
execution_latency_ms,D_W0_R0,D_W2_R2,3,0.0,1.0,False,-3.506532333963364,-6362.358999999999
execution_latency_ms,D_W0_R0,D_W2_R4,3,0.0,1.0,False,-4.365268478936951,-7920.476000000001
execution_latency_ms,D_W0_R0,D_W3_R0,3,2.0,0.75,False,-0.5628080186401571,-1021.1759999999995
execution_latency_ms,D_W0_R0,D_W3_R1,3,1.0,0.875,False,-1.3766612084581187,-2497.855999999998
execution_latency_ms,D_W0_R0,D_W3_R2,3,0.0,1.0,False,-4.578858921313092,-8308.020999999999
execution_latency_ms,D_W0_R0,D_W3_R4,3,0.0,1.0,False,-3.9022691915474854,-7080.395999999999
execution_latency_ms,D_W0_R0,D_W4_R0,3,3.0,0.625,False,-1.0219647778993488,-1854.2839999999997
execution_latency_ms,D_W0_R0,D_W4_R1,3,3.0,0.625,False,-1.0441998546187565,-1894.6279999999988
execution_latency_ms,D_W0_R0,D_W4_R2,3,0.0,1.0,False,-3.741494772299878,-6788.681999999999
execution_latency_ms,D_W0_R0,D_W4_R4,3,0.0,1.0,False,-2.1865754211465545,-3967.3889999999974
