condition,write_algorithm,read_algorithm,n,write_latency_ms_mean,write_latency_ms_p50,write_latency_ms_p95,write_latency_ms_p99,write_latency_ms_std,flush_latency_ms_mean,flush_latency_ms_p50,flush_latency_ms_p95,flush_latency_ms_p99,flush_latency_ms_std,total_bytes_written_mean,total_bytes_written_p50,total_bytes_written_p95,total_bytes_written_p99,total_bytes_written_std,handoff_latency_ms_mean,handoff_latency_ms_p50,handoff_latency_ms_p95,handoff_latency_ms_p99,handoff_latency_ms_std,context_payload_bytes_mean,context_payload_bytes_p50,context_payload_bytes_p95,context_payload_bytes_p99,context_payload_bytes_std,context_token_count_mean,context_token_count_p50,context_token_count_p95,context_token_count_p99,context_token_count_std,compression_ratio_mean,compression_ratio_p50,compression_ratio_p95,compression_ratio_p99,compression_ratio_std,input_token_delta_mean,input_token_delta_p50,input_token_delta_p95,input_token_delta_p99,input_token_delta_std,estimated_cost_usd_mean,estimated_cost_usd_p50,estimated_cost_usd_p95,estimated_cost_usd_p99,estimated_cost_usd_std,input_tokens_used_mean,input_tokens_used_p50,input_tokens_used_p95,input_tokens_used_p99,input_tokens_used_std,output_tokens_used_mean,output_tokens_used_p50,output_tokens_used_p95,output_tokens_used_p99,output_tokens_used_std,simulator_input_tokens_mean,simulator_input_tokens_p50,simulator_input_tokens_p95,simulator_input_tokens_p99,simulator_input_tokens_std,simulator_output_tokens_mean,simulator_output_tokens_p50,simulator_output_tokens_p95,simulator_output_tokens_p99,simulator_output_tokens_std,handoff_input_tokens_mean,handoff_input_tokens_p50,handoff_input_tokens_p95,handoff_input_tokens_p99,handoff_input_tokens_std,handoff_output_tokens_mean,handoff_output_tokens_p50,handoff_output_tokens_p95,handoff_output_tokens_p99,handoff_output_tokens_std,execution_latency_ms_mean,execution_latency_ms_p50,execution_latency_ms_p95,execution_latency_ms_p99,execution_latency_ms_std,simulated_wan_latency_ms_mean,simulated_wan_latency_ms_p50,simulated_wan_latency_ms_p95,simulated_wan_latency_ms_p99,simulated_wan_latency_ms_std,retrieval_accuracy_score_mean,retrieval_accuracy_score_p50,retrieval_accuracy_score_p95,retrieval_accuracy_score_p99,retrieval_accuracy_score_std,state_integrity_score_mean,state_integrity_score_p50,state_integrity_score_p95,state_integrity_score_p99,state_integrity_score_std
D_W0_R3,W0,R3,30,6.950085414670563,4.830368747207103,20.081888744607564,23.220119364414135,5.396650784981834,6.950085414670563,4.830368747207103,20.081888744607564,23.220119364414135,5.396650784981834,3658.4333333333334,3490.0,4735.25,5011.360000000001,580.816648253895,6142.874846667594,4449.243999988539,5796.691335007199,39093.96167699543,8670.973638624298,2493.4333333333334,2300.0,4039.5499999999993,4192.7300000000005,915.6233826682719,658.8333333333334,620.0,1050.9999999999998,1113.27,234.300957934211,1.8282156034082566,1.761964864290042,2.7436829087475854,2.797577799327109,0.5721214806366918,341.1333333333333,373.0,686.7999999999997,730.71,226.4505440242723,0.002583333333333333,0.0026795,0.00323915,0.00348145,0.00048102635640425725,3410.8,3445.5,3913.9999999999995,4042.8,335.74597540402476,1302.6333333333334,1258.0,1736.9999999999995,1791.71,222.9087232229571,2751.9666666666667,2773.0,2937.55,2940.84,156.91302969762862,917.7333333333333,873.5,1279.55,1280.0,173.54306542053345,658.8333333333334,620.0,1050.9999999999998,1113.27,234.300957934211,384.9,374.0,512.0,512.0,80.73716616280262,23905.017466666668,18290.0075,60760.009549999966,68800.38234,14886.516767888479,0.0,0.0,0.0,0.0,0.0,0.6458333333333334,0.65,0.9364999999999999,0.95,0.20366673486087236,0.8583333333333333,1.0,1.0,1.0,0.2473470346609305
D_W1_R3,W1,R3,30,1.0995416659473751,0.9793062454264145,1.5089412427187197,1.9176941257319418,0.27639633973211475,7.051703336571033,7.131712503905874,8.371821262699086,8.982480765116634,0.9000431697614376,3753.2,3630.0,5022.899999999999,5245.81,567.5690501310539,4619.8129799973685,4532.257700018818,6532.499045017174,7306.97090398986,1162.1511875810734,2605.5,2505.5,3907.3999999999996,4503.660000000001,787.2792283131402,663.8333333333334,638.0,940.7999999999997,1090.5000000000002,180.0707422715368,1.7193876734318259,1.6124646464646464,2.4391930801446793,2.5634059303306964,0.44439988183992846,328.06666666666666,291.0,624.5999999999993,731.13,181.41534909948743,0.0026826666666666674,0.0025915,0.0034439500000000003,0.00362266,0.0005895528437346016,3409.3,3403.0,3801.55,3980.21,278.57580057619265,1314.1666666666667,1283.5,1791.55,1792.0,242.50554403742794,2745.4666666666667,2767.5,2929.65,2931.0,136.47239851177068,910.4,872.0,1280.0,1280.0,166.25073433421778,663.8333333333334,638.0,940.7999999999997,1090.5000000000002,180.0707422715368,403.76666666666665,404.0,512.0,512.0,97.1393100426164,18636.52433333333,18451.534,23978.4089,25209.25584,3065.8990776277496,0.0,0.0,0.0,0.0,0.0,0.7026666666666668,0.67,0.95,0.95,0.15741523292094559,0.8916666666666667,1.0,1.0,1.0,0.20086617988656585
D_W2_R3,W2,R3,30,1.6796808333310764,1.6027874989958946,2.2128312513814303,2.660357124623261,0.3414462003114146,27.314730011858046,26.323400030378252,35.630660012247965,37.950588978710584,4.328724705708894,3670.1666666666665,3525.0,4707.299999999999,4967.06,470.67788584362256,6062.653526667661,4283.32939997199,6460.250405003899,39120.11830701497,8668.368156303197,2143.233333333333,2246.5,3511.3999999999996,4067.4000000000005,813.8038126941625,552.6333333333333,563.5,876.5999999999999,917.27,185.9775046133866,2.3190752400442514,2.133895762030958,5.967896611346104,6.280829870492382,1.3265782376216646,423.53333333333336,486.5,730.55,731.71,195.70381248770354,0.002411466666666667,0.0023465,0.00319055,0.0033065000000000004,0.0004942309671488513,3303.9,3302.5,3694.75,3762.34,229.5363950807511,1266.4666666666667,1204.5,1661.0499999999997,1768.51,185.21208263921542,2751.266666666667,2750.5,2927.25,2939.68,98.65020132884788,894.7,853.5,1196.75,1256.51,120.71016251059119,552.6333333333333,563.5,876.5999999999999,917.27,185.9775046133866,371.76666666666665,356.5,512.0,512.0,86.6793644544203,20182.7135,18390.618000000002,23014.482649999994,52646.86858000003,8532.176881240674,0.0,0.0,0.0,0.0,0.0,0.592,0.6,0.8884999999999998,0.9413,0.1872858777377515,0.9,1.0,1.0,1.0,0.2101586702153082
D_W3_R3,W3,R3,30,4.676453333134607,1.3361937562876847,14.470553746650694,14.838308379112277,4.772126164345948,56.158886661675446,54.70870001590811,65.45752500824163,80.1313039759407,6.822604055594468,5919.433333333333,5844.0,6442.9,6625.91,309.18286750005336,4471.080516664854,4405.235050013289,6068.707499993614,7278.380230973126,1017.4802214564246,2126.8,2103.5,3992.8499999999985,4399.42,1016.0157282247161,563.0666666666667,550.5,1015.9999999999998,1190.6800000000003,260.9662728314821,2.4401380115337057,1.9990484288816717,5.576107684297839,7.125886570799938,1.535440942954103,383.56666666666666,434.0,721.4,728.55,217.13262971946176,0.0023129000000000005,0.0022635,0.003145,0.00319236,0.000476277814585843,3292.5333333333333,3282.0,3828.2,4088.71,333.19401088388264,1215.6,1213.0,1445.0499999999995,1571.47,127.23773025325467,2729.4666666666667,2740.5,2889.45,2926.42,101.36164078300145,865.6333333333333,847.5,1022.4499999999997,1136.3500000000001,86.29503011310803,563.0666666666667,550.5,1015.9999999999998,1190.6800000000003,260.9662728314821,349.96666666666664,354.5,471.0499999999997,512.0,72.928953250559,18995.628866666662,18155.8185,21092.9508,40888.060170000026,5827.837265084517,0.0,0.0,0.0,0.0,0.0,0.6165,0.62,0.9364999999999999,0.95,0.20781863086194494,0.9,1.0,1.0,1.0,0.25495097567963926
D_W4_R3,W4,R3,30,1.2996699990859877,1.1068312487623189,2.6510243820666757,3.4535707504983293,0.623916650702122,25.918629998341203,25.554849969921634,37.32322998694142,43.010770999244414,5.810363063961452,3665.3333333333335,3562.5,4465.75,4827.76,427.5501789913735,4740.398586675292,4711.426899972139,6182.0667800231595,7421.696282029154,1031.5573454684452,2184.9,2224.5,3767.849999999999,4002.81,874.403200283866,585.6333333333333,624.0,999.6499999999997,1091.67,230.06513328958727,2.301914994407591,2.2662423539006866,5.355376822966371,5.942552527114787,1.2461412892057884,426.43333333333334,480.5,730.0,731.42,244.57196396062153,0.002591633333333333,0.002502,0.0033240499999999994,0.00344007,0.00047686619250640486,3342.766666666667,3303.0,3835.95,3980.83,292.63739603057496,1331.9,1285.0,1790.55,1791.71,227.28636122741725,2757.133333333333,2779.5,2928.4,2936.26,127.68391528388462,930.7,875.5,1279.0,1279.71,169.53999528134946,585.6333333333333,624.0,999.6499999999997,1091.67,230.06513328958727,401.2,368.5,512.0,512.0,76.84026722146837,18360.129333333334,18310.566,22754.606050000002,24217.72216,2510.8189011927743,0.0,0.0,0.0,0.0,0.0,0.634,0.645,0.95,0.95,0.19279695709908565,0.9416666666666667,1.0,1.0,1.0,0.1238839062276542
